2023-04-10 20:58:51,177 train_batch_size: 64
2023-04-10 20:58:51,177 test_batch_size: 64
2023-04-10 20:58:51,177 lr: 5e-05
2023-04-10 20:58:51,177 num_epochs: 50
2023-04-10 20:58:51,177 max_patience: 1
2023-04-10 20:58:52,042 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-10 20:58:57,573 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-10 20:59:00,058 Train Epoch: 0
2023-04-10 20:59:03,549 Step 0 - loss: 4.599089622497559 , train acc: 1.5625
2023-04-10 20:59:05,596 Step 1 - loss: 4.605899810791016 , train acc: 1.5625
2023-04-10 20:59:07,944 Step 2 - loss: 4.599047660827637 , train acc: 3.125
2023-04-10 20:59:09,288 Step 3 - loss: 4.6053643226623535 , train acc: 1.5625
2023-04-10 20:59:10,317 Step 4 - loss: 4.607772350311279 , train acc: 0.0
2023-04-10 20:59:11,428 Step 5 - loss: 4.610040664672852 , train acc: 0.0
2023-04-10 20:59:13,438 Step 6 - loss: 4.605555534362793 , train acc: 0.0
2023-04-10 20:59:15,057 Step 7 - loss: 4.60088586807251 , train acc: 0.0
2023-04-10 20:59:16,702 Step 8 - loss: 4.596174240112305 , train acc: 0.0
2023-04-10 20:59:18,425 Step 9 - loss: 4.596565246582031 , train acc: 3.125
2023-04-10 20:59:20,287 Step 10 - loss: 4.600305080413818 , train acc: 1.5625
2023-04-10 20:59:21,328 Step 11 - loss: 4.601424217224121 , train acc: 1.5625
2023-04-10 20:59:23,144 Step 12 - loss: 4.60675573348999 , train acc: 0.0
2023-04-10 20:59:24,989 Step 13 - loss: 4.6081342697143555 , train acc: 0.0
2023-04-10 20:59:26,609 Step 14 - loss: 4.600075721740723 , train acc: 0.0
2023-04-10 20:59:28,178 Step 15 - loss: 4.60384464263916 , train acc: 0.0
2023-04-10 20:59:29,387 Step 16 - loss: 4.605790138244629 , train acc: 0.0
2023-04-10 20:59:30,336 Step 17 - loss: 4.600811004638672 , train acc: 0.0
2023-04-10 20:59:31,565 Step 18 - loss: 4.605356216430664 , train acc: 0.0
2023-04-10 20:59:33,394 Step 19 - loss: 4.605106353759766 , train acc: 0.0
2023-04-10 20:59:35,325 Step 20 - loss: 4.604323387145996 , train acc: 0.0
2023-04-10 20:59:36,948 Step 21 - loss: 4.598097801208496 , train acc: 0.0
2023-04-10 20:59:38,103 Step 22 - loss: 4.602554798126221 , train acc: 1.5625
2023-04-10 20:59:39,102 Step 23 - loss: 4.598127841949463 , train acc: 0.0
2023-04-10 20:59:40,062 Step 24 - loss: 4.602642059326172 , train acc: 0.0
2023-04-10 20:59:41,699 Step 25 - loss: 4.6024250984191895 , train acc: 0.0
2023-04-10 20:59:43,125 Step 26 - loss: 4.605339050292969 , train acc: 0.0
2023-04-10 20:59:44,671 Step 27 - loss: 4.590770721435547 , train acc: 3.125
2023-04-10 20:59:46,310 Step 28 - loss: 4.601469993591309 , train acc: 3.125
