2023-04-10 21:05:54,429 train_batch_size: 64
2023-04-10 21:05:54,429 test_batch_size: 64
2023-04-10 21:05:54,429 lr: 5e-05
2023-04-10 21:05:54,429 num_epochs: 50
2023-04-10 21:05:54,429 max_patience: 1
2023-04-10 21:05:55,572 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-10 21:06:01,658 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-10 21:06:04,615 Train Epoch: 0
2023-04-10 21:06:08,440 Step 0 - loss: 2.3068954944610596 , train acc: 6.25
2023-04-10 21:06:09,602 Step 1 - loss: 2.3045358657836914 , train acc: 4.6875
2023-04-10 21:06:11,476 Step 2 - loss: 2.295954704284668 , train acc: 14.0625
2023-04-10 21:06:13,572 Step 3 - loss: 2.304771900177002 , train acc: 7.8125
2023-04-10 21:06:15,640 Step 4 - loss: 2.3034069538116455 , train acc: 6.25
2023-04-10 21:06:17,666 Step 5 - loss: 2.2993438243865967 , train acc: 9.375
2023-04-10 21:06:19,451 Step 6 - loss: 2.3014960289001465 , train acc: 10.9375
2023-04-10 21:06:20,716 Step 7 - loss: 2.293016195297241 , train acc: 12.5
2023-04-10 21:06:22,625 Step 8 - loss: 2.2994370460510254 , train acc: 10.9375
2023-04-10 21:06:24,245 Step 9 - loss: 2.294210195541382 , train acc: 15.625
2023-04-10 21:06:27,336 Step 10 - loss: 2.289693832397461 , train acc: 15.625
2023-04-10 21:06:29,109 Step 11 - loss: 2.295675754547119 , train acc: 14.0625
2023-04-10 21:06:30,716 Step 12 - loss: 2.291688919067383 , train acc: 10.9375
2023-04-10 21:06:32,545 Step 13 - loss: 2.290477752685547 , train acc: 15.625
2023-04-10 21:06:33,864 Step 14 - loss: 2.2940306663513184 , train acc: 12.5
2023-04-10 21:06:35,061 Step 15 - loss: 2.2976934909820557 , train acc: 14.0625
2023-04-10 21:06:36,997 Step 16 - loss: 2.284494400024414 , train acc: 20.3125
2023-04-10 21:06:38,686 Step 17 - loss: 2.2897658348083496 , train acc: 14.0625
2023-04-10 21:06:40,382 Step 18 - loss: 2.2869505882263184 , train acc: 21.875
2023-04-10 21:06:42,606 Step 19 - loss: 2.2822015285491943 , train acc: 21.875
2023-04-10 21:06:44,141 Step 20 - loss: 2.276435375213623 , train acc: 35.9375
2023-04-10 21:06:45,312 Step 21 - loss: 2.286134719848633 , train acc: 15.625
2023-04-10 21:06:46,901 Step 22 - loss: 2.2766854763031006 , train acc: 28.125
2023-04-10 21:06:48,789 Step 23 - loss: 2.2793874740600586 , train acc: 26.5625
2023-04-10 21:06:50,318 Step 24 - loss: 2.27701997756958 , train acc: 34.375
2023-04-10 21:06:51,684 Step 25 - loss: 2.2772927284240723 , train acc: 34.375
2023-04-10 21:06:53,483 Step 26 - loss: 2.2732338905334473 , train acc: 40.625
2023-04-10 21:06:55,559 Step 27 - loss: 2.274592399597168 , train acc: 28.125
2023-04-10 21:06:57,055 Step 28 - loss: 2.2749581336975098 , train acc: 37.5
2023-04-10 21:06:58,272 Step 29 - loss: 2.2712833881378174 , train acc: 37.5
2023-04-10 21:07:00,137 Step 30 - loss: 2.27628231048584 , train acc: 31.25
2023-04-10 21:07:02,126 Step 31 - loss: 2.276451587677002 , train acc: 29.6875
2023-04-10 21:07:03,712 Step 32 - loss: 2.270740270614624 , train acc: 29.6875
2023-04-10 21:07:05,561 Step 33 - loss: 2.2740988731384277 , train acc: 29.6875
2023-04-10 21:07:07,212 Step 34 - loss: 2.266162157058716 , train acc: 43.75
2023-04-10 21:07:08,692 Step 35 - loss: 2.265700101852417 , train acc: 46.875
2023-04-10 21:07:09,826 Step 36 - loss: 2.2666571140289307 , train acc: 37.5
2023-04-10 21:07:11,741 Step 37 - loss: 2.2617874145507812 , train acc: 45.3125
2023-04-10 21:07:13,606 Step 38 - loss: 2.2614901065826416 , train acc: 40.625
2023-04-10 21:07:15,729 Step 39 - loss: 2.257190704345703 , train acc: 46.875
2023-04-10 21:07:20,392 Step 40 - loss: 2.2489025592803955 , train acc: 56.25
2023-04-10 21:07:21,925 Step 41 - loss: 2.2632288932800293 , train acc: 40.625
2023-04-10 21:07:23,406 Step 42 - loss: 2.260636568069458 , train acc: 40.625
2023-04-10 21:07:24,738 Step 43 - loss: 2.2585878372192383 , train acc: 51.5625
2023-04-10 21:07:26,717 Step 44 - loss: 2.2610580921173096 , train acc: 46.875
2023-04-10 21:07:28,135 Step 45 - loss: 2.2581307888031006 , train acc: 48.4375
2023-04-10 21:07:29,756 Step 46 - loss: 2.253650426864624 , train acc: 51.5625
2023-04-10 21:07:31,162 Step 47 - loss: 2.242502212524414 , train acc: 62.5
