2023-04-12 19:20:45,975 train_batch_size: 64
2023-04-12 19:20:45,975 test_batch_size: 64
2023-04-12 19:20:45,975 lr: 5e-05
2023-04-12 19:20:45,976 num_epochs: 50
2023-04-12 19:20:45,976 max_patience: 1
2023-04-12 19:20:46,843 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-12 19:20:51,109 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-12 19:21:00,248 Train Epoch: 0
2023-04-12 19:21:02,891 Step 0 - loss: 4.605611801147461 , train acc: 0.0
2023-04-12 19:21:03,976 Step 1 - loss: 4.6041669845581055 , train acc: 0.0
2023-04-12 19:21:05,080 Step 2 - loss: 4.600693702697754 , train acc: 1.5625
2023-04-12 19:21:06,084 Step 3 - loss: 4.6042022705078125 , train acc: 1.5625
2023-04-12 19:21:07,095 Step 4 - loss: 4.605491638183594 , train acc: 0.0
2023-04-12 19:21:08,098 Step 5 - loss: 4.604905128479004 , train acc: 1.5625
2023-04-12 19:21:09,113 Step 6 - loss: 4.608481407165527 , train acc: 0.0
2023-04-12 19:21:10,169 Step 7 - loss: 4.607053756713867 , train acc: 3.125
2023-04-12 19:21:11,173 Step 8 - loss: 4.59529972076416 , train acc: 3.125
2023-04-12 19:21:12,173 Step 9 - loss: 4.6045684814453125 , train acc: 4.6875
2023-04-12 19:21:13,177 Step 10 - loss: 4.605949878692627 , train acc: 0.0
2023-04-12 19:21:14,178 Step 11 - loss: 4.602871894836426 , train acc: 3.125
2023-04-12 19:21:15,187 Step 12 - loss: 4.601883888244629 , train acc: 0.0
2023-04-12 19:21:16,284 Step 13 - loss: 4.602265357971191 , train acc: 0.0
2023-04-12 19:21:17,405 Step 14 - loss: 4.598052978515625 , train acc: 4.6875
2023-04-12 19:21:18,479 Step 15 - loss: 4.602786064147949 , train acc: 1.5625
2023-04-12 19:21:19,562 Step 16 - loss: 4.607834815979004 , train acc: 1.5625
2023-04-12 19:21:20,680 Step 17 - loss: 4.594748020172119 , train acc: 3.125
2023-04-12 19:21:21,775 Step 18 - loss: 4.60164737701416 , train acc: 0.0
2023-04-12 19:21:22,884 Step 19 - loss: 4.609670162200928 , train acc: 0.0
