2023-04-01 07:09:37,486 train_batch_size: 64
2023-04-01 07:09:37,486 test_batch_size: 64
2023-04-01 07:09:37,487 lr: 5e-05
2023-04-01 07:09:37,487 num_epochs: 50
2023-04-01 07:09:37,487 max_patience: 1
2023-04-01 07:09:38,916 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-01 07:09:44,573 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-01 07:09:46,668 Train Epoch: 0
2023-04-01 07:09:49,587 Step 0 - loss: 4.603402137756348 , train acc: 3.125
2023-04-01 07:09:50,707 Step 1 - loss: 4.607783317565918 , train acc: 1.5625
2023-04-01 07:09:51,838 Step 2 - loss: 4.604063987731934 , train acc: 0.0
2023-04-01 07:09:53,007 Step 3 - loss: 4.6095380783081055 , train acc: 0.0
2023-04-01 07:09:54,162 Step 4 - loss: 4.608680248260498 , train acc: 0.0
2023-04-01 07:09:55,506 Step 5 - loss: 4.603756427764893 , train acc: 0.0
2023-04-01 07:09:56,674 Step 6 - loss: 4.611462593078613 , train acc: 0.0
2023-04-01 07:09:57,692 Step 7 - loss: 4.608710765838623 , train acc: 0.0
2023-04-01 07:09:58,868 Step 8 - loss: 4.607677459716797 , train acc: 0.0
2023-04-01 07:10:00,186 Step 9 - loss: 4.601783752441406 , train acc: 0.0
2023-04-01 07:10:01,314 Step 10 - loss: 4.6035871505737305 , train acc: 1.5625
2023-04-01 07:10:02,480 Step 11 - loss: 4.606266021728516 , train acc: 0.0
2023-04-01 07:10:03,696 Step 12 - loss: 4.609821319580078 , train acc: 1.5625
2023-04-01 07:10:04,931 Step 13 - loss: 4.602537155151367 , train acc: 4.6875
2023-04-01 07:10:06,182 Step 14 - loss: 4.606821060180664 , train acc: 0.0
2023-04-01 07:10:07,380 Step 15 - loss: 4.600171089172363 , train acc: 0.0
2023-04-01 07:10:08,812 Step 16 - loss: 4.60836935043335 , train acc: 0.0
2023-04-01 07:10:09,938 Step 17 - loss: 4.605309009552002 , train acc: 0.0
2023-04-01 07:10:11,070 Step 18 - loss: 4.601139545440674 , train acc: 4.6875
2023-04-01 07:10:12,177 Step 19 - loss: 4.6060566902160645 , train acc: 1.5625
2023-04-01 07:10:13,509 Step 20 - loss: 4.602756500244141 , train acc: 0.0
2023-04-01 07:10:14,724 Step 21 - loss: 4.603226184844971 , train acc: 3.125
2023-04-01 07:10:15,835 Step 22 - loss: 4.593514919281006 , train acc: 3.125
2023-04-01 07:10:16,894 Step 23 - loss: 4.601426124572754 , train acc: 1.5625
2023-04-01 07:10:18,043 Step 24 - loss: 4.609106540679932 , train acc: 1.5625
2023-04-01 07:10:19,090 Step 25 - loss: 4.603127479553223 , train acc: 0.0
2023-04-01 07:10:20,153 Step 26 - loss: 4.603201866149902 , train acc: 1.5625
2023-04-01 07:10:21,265 Step 27 - loss: 4.607174873352051 , train acc: 0.0
2023-04-01 07:10:22,344 Step 28 - loss: 4.604072093963623 , train acc: 0.0
2023-04-01 07:10:23,524 Step 29 - loss: 4.603266716003418 , train acc: 1.5625
2023-04-01 07:10:24,686 Step 30 - loss: 4.609832286834717 , train acc: 0.0
2023-04-01 07:10:25,805 Step 31 - loss: 4.6028733253479 , train acc: 0.0
2023-04-01 07:10:27,000 Step 32 - loss: 4.610461235046387 , train acc: 3.125
2023-04-01 07:10:28,153 Step 33 - loss: 4.601929187774658 , train acc: 3.125
2023-04-01 07:10:29,311 Step 34 - loss: 4.596125602722168 , train acc: 3.125
2023-04-01 07:10:30,447 Step 35 - loss: 4.601306438446045 , train acc: 4.6875
2023-04-01 07:10:31,566 Step 36 - loss: 4.601914405822754 , train acc: 1.5625
2023-04-01 07:10:32,845 Step 37 - loss: 4.600205421447754 , train acc: 4.6875
2023-04-01 07:10:33,915 Step 38 - loss: 4.601719379425049 , train acc: 4.6875
2023-04-01 07:10:35,066 Step 39 - loss: 4.606283187866211 , train acc: 0.0
2023-04-01 07:10:36,333 Step 40 - loss: 4.602199554443359 , train acc: 0.0
2023-04-01 07:10:37,452 Step 41 - loss: 4.6077470779418945 , train acc: 0.0
2023-04-01 07:10:38,601 Step 42 - loss: 4.6027116775512695 , train acc: 1.5625
2023-04-01 07:10:39,663 Step 43 - loss: 4.600144863128662 , train acc: 3.125
2023-04-01 07:10:40,880 Step 44 - loss: 4.609590530395508 , train acc: 0.0
2023-04-01 07:10:42,106 Step 45 - loss: 4.6076741218566895 , train acc: 1.5625
2023-04-01 07:10:43,229 Step 46 - loss: 4.599799156188965 , train acc: 0.0
2023-04-01 07:10:44,322 Step 47 - loss: 4.603332996368408 , train acc: 1.5625
2023-04-01 07:10:45,334 Step 48 - loss: 4.602663040161133 , train acc: 1.5625
2023-04-01 07:10:46,491 Step 49 - loss: 4.603271961212158 , train acc: 0.0
2023-04-01 07:10:47,533 Step 50 - loss: 4.59671688079834 , train acc: 3.125
2023-04-01 07:10:48,896 Step 51 - loss: 4.603720664978027 , train acc: 3.125
2023-04-01 07:10:50,359 Step 52 - loss: 4.5999979972839355 , train acc: 0.0
2023-04-01 07:10:51,510 Step 53 - loss: 4.605317115783691 , train acc: 3.125
2023-04-01 07:10:52,695 Step 54 - loss: 4.604294776916504 , train acc: 1.5625
2023-04-01 07:10:53,795 Step 55 - loss: 4.601011753082275 , train acc: 0.0
2023-04-01 07:10:54,841 Step 56 - loss: 4.598370552062988 , train acc: 0.0
2023-04-01 07:10:56,018 Step 57 - loss: 4.5952253341674805 , train acc: 0.0
2023-04-01 07:10:57,125 Step 58 - loss: 4.597061634063721 , train acc: 3.125
2023-04-01 07:10:58,229 Step 59 - loss: 4.5970964431762695 , train acc: 7.8125
2023-04-01 07:10:59,367 Step 60 - loss: 4.6060566902160645 , train acc: 1.5625
2023-04-01 07:11:00,446 Step 61 - loss: 4.603452682495117 , train acc: 0.0
2023-04-01 07:11:01,706 Step 62 - loss: 4.598981857299805 , train acc: 0.0
2023-04-01 07:11:02,829 Step 63 - loss: 4.597149848937988 , train acc: 1.5625
2023-04-01 07:11:04,101 Step 64 - loss: 4.602163314819336 , train acc: 1.5625
2023-04-01 07:11:05,286 Step 65 - loss: 4.601600170135498 , train acc: 0.0
2023-04-01 07:11:06,506 Step 66 - loss: 4.607647895812988 , train acc: 1.5625
2023-04-01 07:11:07,647 Step 67 - loss: 4.605338096618652 , train acc: 0.0
2023-04-01 07:11:08,897 Step 68 - loss: 4.605753421783447 , train acc: 0.0
2023-04-01 07:11:10,154 Step 69 - loss: 4.595314025878906 , train acc: 1.5625
2023-04-01 07:11:11,347 Step 70 - loss: 4.598353385925293 , train acc: 1.5625
2023-04-01 07:11:12,521 Step 71 - loss: 4.596218109130859 , train acc: 1.5625
2023-04-01 07:11:13,567 Step 72 - loss: 4.598260879516602 , train acc: 1.5625
2023-04-01 07:11:14,763 Step 73 - loss: 4.599154472351074 , train acc: 1.5625
2023-04-01 07:11:16,016 Step 74 - loss: 4.601844310760498 , train acc: 1.5625
2023-04-01 07:11:17,421 Step 75 - loss: 4.600338935852051 , train acc: 1.5625
2023-04-01 07:11:18,490 Step 76 - loss: 4.602581024169922 , train acc: 0.0
2023-04-01 07:11:19,601 Step 77 - loss: 4.6025590896606445 , train acc: 1.5625
2023-04-01 07:11:20,703 Step 78 - loss: 4.602142810821533 , train acc: 0.0
2023-04-01 07:11:21,911 Step 79 - loss: 4.598877906799316 , train acc: 0.0
2023-04-01 07:11:22,995 Step 80 - loss: 4.597294330596924 , train acc: 4.6875
2023-04-01 07:11:24,078 Step 81 - loss: 4.5991926193237305 , train acc: 1.5625
2023-04-01 07:11:25,203 Step 82 - loss: 4.593338966369629 , train acc: 1.5625
2023-04-01 07:11:26,464 Step 83 - loss: 4.591703414916992 , train acc: 4.6875
2023-04-01 07:11:27,521 Step 84 - loss: 4.601461410522461 , train acc: 3.125
2023-04-01 07:11:28,939 Step 85 - loss: 4.595712661743164 , train acc: 6.25
2023-04-01 07:11:30,435 Step 86 - loss: 4.596656799316406 , train acc: 0.0
2023-04-01 07:11:31,631 Step 87 - loss: 4.603509902954102 , train acc: 1.5625
2023-04-01 07:11:32,706 Step 88 - loss: 4.601188659667969 , train acc: 0.0
2023-04-01 07:11:33,849 Step 89 - loss: 4.601043701171875 , train acc: 0.0
2023-04-01 07:11:35,080 Step 90 - loss: 4.5988993644714355 , train acc: 3.125
2023-04-01 07:11:36,253 Step 91 - loss: 4.591297626495361 , train acc: 3.125
2023-04-01 07:11:37,517 Step 92 - loss: 4.593997478485107 , train acc: 6.25
2023-04-01 07:11:38,648 Step 93 - loss: 4.600647926330566 , train acc: 1.5625
2023-04-01 07:11:39,999 Step 94 - loss: 4.595790863037109 , train acc: 0.0
2023-04-01 07:11:41,159 Step 95 - loss: 4.593016624450684 , train acc: 1.5625
2023-04-01 07:11:42,293 Step 96 - loss: 4.592926979064941 , train acc: 1.5625
2023-04-01 07:11:43,469 Step 97 - loss: 4.5987958908081055 , train acc: 1.5625
2023-04-01 07:11:44,596 Step 98 - loss: 4.598114013671875 , train acc: 3.125
2023-04-01 07:11:45,882 Step 99 - loss: 4.5889787673950195 , train acc: 6.25
2023-04-01 07:11:46,974 Step 100 - loss: 4.59271240234375 , train acc: 3.125
2023-04-01 07:11:48,035 Step 101 - loss: 4.597192287445068 , train acc: 1.5625
2023-04-01 07:11:49,176 Step 102 - loss: 4.592677593231201 , train acc: 4.6875
2023-04-01 07:11:50,252 Step 103 - loss: 4.597390174865723 , train acc: 0.0
2023-04-01 07:11:51,413 Step 104 - loss: 4.601686000823975 , train acc: 0.0
2023-04-01 07:11:52,712 Step 105 - loss: 4.595846176147461 , train acc: 3.125
2023-04-01 07:11:53,894 Step 106 - loss: 4.595341682434082 , train acc: 1.5625
2023-04-01 07:11:54,992 Step 107 - loss: 4.594553470611572 , train acc: 6.25
2023-04-01 07:11:56,199 Step 108 - loss: 4.58928108215332 , train acc: 3.125
2023-04-01 07:11:57,547 Step 109 - loss: 4.596668720245361 , train acc: 1.5625
2023-04-01 07:11:58,679 Step 110 - loss: 4.596124649047852 , train acc: 3.125
2023-04-01 07:11:59,835 Step 111 - loss: 4.59891414642334 , train acc: 1.5625
2023-04-01 07:12:00,958 Step 112 - loss: 4.599231719970703 , train acc: 0.0
2023-04-01 07:12:02,110 Step 113 - loss: 4.599688529968262 , train acc: 0.0
2023-04-01 07:12:03,203 Step 114 - loss: 4.597743988037109 , train acc: 3.125
2023-04-01 07:12:04,271 Step 115 - loss: 4.594448566436768 , train acc: 3.125
2023-04-01 07:12:05,408 Step 116 - loss: 4.598088264465332 , train acc: 4.6875
