2023-04-01 07:08:39,649 train_batch_size: 64
2023-04-01 07:08:39,649 test_batch_size: 64
2023-04-01 07:08:39,649 lr: 5e-05
2023-04-01 07:08:39,649 num_epochs: 50
2023-04-01 07:08:39,649 max_patience: 1
2023-04-01 07:08:41,020 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-01 07:08:45,980 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-01 07:08:47,803 Train Epoch: 0
2023-04-01 07:08:50,562 Step 0 - loss: 2.2986114025115967 , train acc: 12.5
2023-04-01 07:08:51,673 Step 1 - loss: 2.302299976348877 , train acc: 9.375
2023-04-01 07:08:52,707 Step 2 - loss: 2.2980008125305176 , train acc: 12.5
2023-04-01 07:08:53,771 Step 3 - loss: 2.2924673557281494 , train acc: 10.9375
2023-04-01 07:08:54,787 Step 4 - loss: 2.300227165222168 , train acc: 10.9375
2023-04-01 07:08:55,825 Step 5 - loss: 2.295297622680664 , train acc: 9.375
2023-04-01 07:08:56,868 Step 6 - loss: 2.298954963684082 , train acc: 14.0625
2023-04-01 07:08:57,904 Step 7 - loss: 2.3002429008483887 , train acc: 7.8125
2023-04-01 07:08:58,931 Step 8 - loss: 2.297792673110962 , train acc: 15.625
2023-04-01 07:08:59,988 Step 9 - loss: 2.298673152923584 , train acc: 14.0625
2023-04-01 07:09:01,085 Step 10 - loss: 2.3016552925109863 , train acc: 12.5
2023-04-01 07:09:02,079 Step 11 - loss: 2.293344020843506 , train acc: 20.3125
2023-04-01 07:09:03,133 Step 12 - loss: 2.2901816368103027 , train acc: 26.5625
2023-04-01 07:09:04,145 Step 13 - loss: 2.299427032470703 , train acc: 12.5
2023-04-01 07:09:05,164 Step 14 - loss: 2.2992703914642334 , train acc: 14.0625
2023-04-01 07:09:06,281 Step 15 - loss: 2.2959423065185547 , train acc: 15.625
2023-04-01 07:09:07,363 Step 16 - loss: 2.2958357334136963 , train acc: 15.625
2023-04-01 07:09:08,417 Step 17 - loss: 2.290249824523926 , train acc: 18.75
2023-04-01 07:09:09,415 Step 18 - loss: 2.2961292266845703 , train acc: 17.1875
2023-04-01 07:09:10,461 Step 19 - loss: 2.2908220291137695 , train acc: 18.75
2023-04-01 07:09:11,515 Step 20 - loss: 2.294755220413208 , train acc: 14.0625
2023-04-01 07:09:12,550 Step 21 - loss: 2.288290023803711 , train acc: 18.75
2023-04-01 07:09:13,587 Step 22 - loss: 2.2884626388549805 , train acc: 26.5625
2023-04-01 07:09:14,673 Step 23 - loss: 2.291961431503296 , train acc: 10.9375
2023-04-01 07:09:15,721 Step 24 - loss: 2.287045478820801 , train acc: 20.3125
2023-04-01 07:09:16,729 Step 25 - loss: 2.2855262756347656 , train acc: 21.875
2023-04-01 07:09:17,758 Step 26 - loss: 2.2884488105773926 , train acc: 23.4375
2023-04-01 07:09:18,824 Step 27 - loss: 2.2951040267944336 , train acc: 18.75
2023-04-01 07:09:19,848 Step 28 - loss: 2.299947738647461 , train acc: 9.375
2023-04-01 07:09:20,862 Step 29 - loss: 2.2901663780212402 , train acc: 23.4375
2023-04-01 07:09:21,928 Step 30 - loss: 2.290257453918457 , train acc: 21.875
2023-04-01 07:09:22,950 Step 31 - loss: 2.2804768085479736 , train acc: 26.5625
2023-04-01 07:09:23,960 Step 32 - loss: 2.2871623039245605 , train acc: 17.1875
2023-04-01 07:09:24,944 Step 33 - loss: 2.281594753265381 , train acc: 21.875
2023-04-01 07:09:26,223 Step 34 - loss: 2.290764808654785 , train acc: 14.0625
2023-04-01 07:09:27,496 Step 35 - loss: 2.283956289291382 , train acc: 28.125
2023-04-01 07:09:28,652 Step 36 - loss: 2.281867504119873 , train acc: 18.75
2023-04-01 07:09:29,726 Step 37 - loss: 2.2876992225646973 , train acc: 18.75
2023-04-01 07:09:30,719 Step 38 - loss: 2.286677360534668 , train acc: 15.625
2023-04-01 07:09:31,689 Step 39 - loss: 2.2884163856506348 , train acc: 15.625
2023-04-01 07:09:32,737 Step 40 - loss: 2.2846317291259766 , train acc: 18.75
2023-04-01 07:09:33,792 Step 41 - loss: 2.279452323913574 , train acc: 26.5625
2023-04-01 07:09:34,803 Step 42 - loss: 2.281919240951538 , train acc: 23.4375
2023-04-01 07:09:35,793 Step 43 - loss: 2.2852604389190674 , train acc: 25.0
2023-04-01 07:09:36,835 Step 44 - loss: 2.2847390174865723 , train acc: 18.75
2023-04-01 07:09:37,891 Step 45 - loss: 2.2775840759277344 , train acc: 26.5625
2023-04-01 07:09:38,974 Step 46 - loss: 2.2861485481262207 , train acc: 18.75
2023-04-01 07:09:40,012 Step 47 - loss: 2.281834125518799 , train acc: 21.875
2023-04-01 07:09:40,994 Step 48 - loss: 2.2746329307556152 , train acc: 32.8125
2023-04-01 07:09:42,059 Step 49 - loss: 2.2744576930999756 , train acc: 21.875
2023-04-01 07:09:43,065 Step 50 - loss: 2.2774791717529297 , train acc: 21.875
2023-04-01 07:09:44,140 Step 51 - loss: 2.2787513732910156 , train acc: 21.875
2023-04-01 07:09:45,189 Step 52 - loss: 2.2762012481689453 , train acc: 28.125
2023-04-01 07:09:46,262 Step 53 - loss: 2.271017074584961 , train acc: 29.6875
2023-04-01 07:09:47,269 Step 54 - loss: 2.274834632873535 , train acc: 23.4375
2023-04-01 07:09:48,297 Step 55 - loss: 2.282289505004883 , train acc: 17.1875
2023-04-01 07:09:49,342 Step 56 - loss: 2.2801480293273926 , train acc: 20.3125
2023-04-01 07:09:50,504 Step 57 - loss: 2.2796530723571777 , train acc: 18.75
2023-04-01 07:09:51,579 Step 58 - loss: 2.2733407020568848 , train acc: 21.875
2023-04-01 07:09:52,740 Step 59 - loss: 2.27256441116333 , train acc: 31.25
2023-04-01 07:09:53,968 Step 60 - loss: 2.2704520225524902 , train acc: 32.8125
2023-04-01 07:09:55,107 Step 61 - loss: 2.2715649604797363 , train acc: 25.0
2023-04-01 07:09:56,302 Step 62 - loss: 2.2725982666015625 , train acc: 31.25
2023-04-01 07:09:57,348 Step 63 - loss: 2.2681078910827637 , train acc: 28.125
2023-04-01 07:09:58,543 Step 64 - loss: 2.2711849212646484 , train acc: 35.9375
2023-04-01 07:09:59,715 Step 65 - loss: 2.2752907276153564 , train acc: 20.3125
2023-04-01 07:10:00,881 Step 66 - loss: 2.2733631134033203 , train acc: 23.4375
2023-04-01 07:10:02,180 Step 67 - loss: 2.275766611099243 , train acc: 20.3125
2023-04-01 07:10:03,484 Step 68 - loss: 2.264047622680664 , train acc: 29.6875
2023-04-01 07:10:04,597 Step 69 - loss: 2.2686126232147217 , train acc: 25.0
2023-04-01 07:10:05,804 Step 70 - loss: 2.2735023498535156 , train acc: 20.3125
2023-04-01 07:10:06,932 Step 71 - loss: 2.2688050270080566 , train acc: 21.875
2023-04-01 07:10:08,510 Step 72 - loss: 2.2664432525634766 , train acc: 26.5625
2023-04-01 07:10:09,723 Step 73 - loss: 2.265324831008911 , train acc: 28.125
2023-04-01 07:10:10,843 Step 74 - loss: 2.2646515369415283 , train acc: 25.0
2023-04-01 07:10:11,946 Step 75 - loss: 2.271423816680908 , train acc: 20.3125
2023-04-01 07:10:13,199 Step 76 - loss: 2.276707172393799 , train acc: 17.1875
2023-04-01 07:10:14,312 Step 77 - loss: 2.267029047012329 , train acc: 25.0
2023-04-01 07:10:15,461 Step 78 - loss: 2.274871826171875 , train acc: 23.4375
2023-04-01 07:10:16,522 Step 79 - loss: 2.2715134620666504 , train acc: 25.0
2023-04-01 07:10:17,629 Step 80 - loss: 2.2674384117126465 , train acc: 28.125
2023-04-01 07:10:18,726 Step 81 - loss: 2.263986110687256 , train acc: 29.6875
2023-04-01 07:10:19,859 Step 82 - loss: 2.272250175476074 , train acc: 17.1875
2023-04-01 07:10:21,044 Step 83 - loss: 2.2730531692504883 , train acc: 23.4375
2023-04-01 07:10:22,404 Step 84 - loss: 2.2615599632263184 , train acc: 37.5
2023-04-01 07:10:23,696 Step 85 - loss: 2.25150728225708 , train acc: 40.625
2023-04-01 07:10:24,905 Step 86 - loss: 2.2555861473083496 , train acc: 35.9375
2023-04-01 07:10:26,073 Step 87 - loss: 2.2547905445098877 , train acc: 43.75
2023-04-01 07:10:27,266 Step 88 - loss: 2.265955924987793 , train acc: 20.3125
2023-04-01 07:10:28,409 Step 89 - loss: 2.2662734985351562 , train acc: 31.25
2023-04-01 07:10:29,528 Step 90 - loss: 2.2578463554382324 , train acc: 29.6875
2023-04-01 07:10:30,670 Step 91 - loss: 2.26151704788208 , train acc: 35.9375
2023-04-01 07:10:31,891 Step 92 - loss: 2.2654733657836914 , train acc: 29.6875
2023-04-01 07:10:33,004 Step 93 - loss: 2.266347646713257 , train acc: 31.25
2023-04-01 07:10:34,242 Step 94 - loss: 2.273815155029297 , train acc: 18.75
2023-04-01 07:10:35,451 Step 95 - loss: 2.2560062408447266 , train acc: 35.9375
2023-04-01 07:10:36,652 Step 96 - loss: 2.2554984092712402 , train acc: 39.0625
2023-04-01 07:10:37,838 Step 97 - loss: 2.2547450065612793 , train acc: 35.9375
2023-04-01 07:10:39,079 Step 98 - loss: 2.2483465671539307 , train acc: 42.1875
2023-04-01 07:10:40,269 Step 99 - loss: 2.248140335083008 , train acc: 39.0625
2023-04-01 07:10:41,366 Step 100 - loss: 2.257556915283203 , train acc: 34.375
2023-04-01 07:10:42,432 Step 101 - loss: 2.2503035068511963 , train acc: 45.3125
2023-04-01 07:10:43,548 Step 102 - loss: 2.2556962966918945 , train acc: 32.8125
2023-04-01 07:10:44,756 Step 103 - loss: 2.2516112327575684 , train acc: 40.625
2023-04-01 07:10:45,800 Step 104 - loss: 2.245340585708618 , train acc: 43.75
2023-04-01 07:10:46,911 Step 105 - loss: 2.255072593688965 , train acc: 32.8125
2023-04-01 07:10:48,049 Step 106 - loss: 2.2566471099853516 , train acc: 45.3125
2023-04-01 07:10:49,338 Step 107 - loss: 2.2489380836486816 , train acc: 39.0625
2023-04-01 07:10:50,626 Step 108 - loss: 2.236431121826172 , train acc: 54.6875
2023-04-01 07:10:51,715 Step 109 - loss: 2.2412562370300293 , train acc: 42.1875
2023-04-01 07:10:52,805 Step 110 - loss: 2.244676113128662 , train acc: 51.5625
2023-04-01 07:10:54,000 Step 111 - loss: 2.2403042316436768 , train acc: 42.1875
2023-04-01 07:10:55,215 Step 112 - loss: 2.2498443126678467 , train acc: 39.0625
2023-04-01 07:10:56,342 Step 113 - loss: 2.248544216156006 , train acc: 39.0625
2023-04-01 07:10:57,490 Step 114 - loss: 2.2307729721069336 , train acc: 50.0
2023-04-01 07:10:58,688 Step 115 - loss: 2.236947536468506 , train acc: 50.0
2023-04-01 07:10:59,883 Step 116 - loss: 2.233253002166748 , train acc: 48.4375
2023-04-01 07:11:01,160 Step 117 - loss: 2.2409327030181885 , train acc: 40.625
2023-04-01 07:11:02,315 Step 118 - loss: 2.234457492828369 , train acc: 51.5625
2023-04-01 07:11:03,358 Step 119 - loss: 2.244058609008789 , train acc: 35.9375
2023-04-01 07:11:04,522 Step 120 - loss: 2.239342451095581 , train acc: 39.0625
2023-04-01 07:11:05,585 Step 121 - loss: 2.2303619384765625 , train acc: 50.0
2023-04-01 07:11:06,679 Step 122 - loss: 2.236593246459961 , train acc: 48.4375
2023-04-01 07:11:07,885 Step 123 - loss: 2.2529664039611816 , train acc: 32.8125
2023-04-01 07:11:09,047 Step 124 - loss: 2.2401647567749023 , train acc: 40.625
2023-04-01 07:11:10,283 Step 125 - loss: 2.241887092590332 , train acc: 48.4375
2023-04-01 07:11:11,513 Step 126 - loss: 2.236374616622925 , train acc: 40.625
2023-04-01 07:11:12,830 Step 127 - loss: 2.2338333129882812 , train acc: 43.75
2023-04-01 07:11:13,881 Step 128 - loss: 2.2404985427856445 , train acc: 37.5
