2023-03-27 19:09:07,439 train_batch_size: 512
2023-03-27 19:09:07,439 test_batch_size: 512
2023-03-27 19:09:07,439 lr: 5e-05
2023-03-27 19:09:07,439 num_epochs: 50
2023-03-27 19:09:07,439 max_patience: 1
2023-03-27 19:09:08,947 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-03-27 19:09:13,631 Train Epoch: 0
2023-03-27 19:09:21,655 Step 0 - loss: 71.96681213378906 , train acc: 1.953125
2023-03-27 19:09:27,329 Step 1 - loss: 67.11174011230469 , train acc: 0.78125
2023-03-27 19:09:32,996 Step 2 - loss: 62.5682373046875 , train acc: 0.5859375
2023-03-27 19:09:39,129 Step 3 - loss: 58.26656723022461 , train acc: 0.78125
2023-03-27 19:09:45,070 Step 4 - loss: 54.16058349609375 , train acc: 0.9765625
2023-03-27 19:09:51,211 Step 5 - loss: 50.442527770996094 , train acc: 1.171875
2023-03-27 19:09:56,909 Step 6 - loss: 46.93204879760742 , train acc: 0.9765625
2023-03-27 19:10:02,590 Step 7 - loss: 43.707763671875 , train acc: 1.171875
2023-03-27 19:10:08,339 Step 8 - loss: 40.64833068847656 , train acc: 1.3671875
2023-03-27 19:10:16,238 Step 9 - loss: 37.90901565551758 , train acc: 0.9765625
2023-03-27 19:10:22,149 Step 10 - loss: 35.334716796875 , train acc: 1.171875
2023-03-27 19:10:28,185 Step 11 - loss: 32.96723937988281 , train acc: 1.3671875
2023-03-27 19:10:34,474 Step 12 - loss: 30.796607971191406 , train acc: 0.78125
2023-03-27 19:10:40,247 Step 13 - loss: 28.905067443847656 , train acc: 0.390625
2023-03-27 19:10:46,255 Step 14 - loss: 27.050739288330078 , train acc: 0.78125
2023-03-27 19:10:52,156 Step 15 - loss: 25.434648513793945 , train acc: 0.9765625
2023-03-27 19:10:58,254 Step 16 - loss: 23.912195205688477 , train acc: 1.5625
2023-03-27 19:11:04,165 Step 17 - loss: 22.595157623291016 , train acc: 1.3671875
2023-03-27 19:11:10,179 Step 18 - loss: 21.3339900970459 , train acc: 1.171875
2023-03-27 19:11:16,643 Step 19 - loss: 20.1643009185791 , train acc: 1.953125
2023-03-27 19:11:22,730 Step 20 - loss: 19.176223754882812 , train acc: 0.9765625
2023-03-27 19:11:28,765 Step 21 - loss: 18.240264892578125 , train acc: 1.3671875
2023-03-27 19:11:34,807 Step 22 - loss: 17.35803985595703 , train acc: 1.171875
