2023-04-22 19:01:58,405 train_batch_size: 512
2023-04-22 19:01:58,405 test_batch_size: 512
2023-04-22 19:01:58,405 lr: 5e-05
2023-04-22 19:01:58,405 num_epochs: 50
2023-04-22 19:01:58,405 max_patience: 1
2023-04-22 19:01:59,550 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-22 19:02:03,865 Train Epoch: 0
2023-04-22 19:02:14,588 Step 0 - loss: 71.78632354736328 , train acc: 0.9765625
2023-04-22 19:02:23,788 Step 1 - loss: 67.34996032714844 , train acc: 0.5859375
2023-04-22 19:02:31,756 Step 2 - loss: 62.758583068847656 , train acc: 1.171875
2023-04-22 19:02:40,210 Step 3 - loss: 58.6904411315918 , train acc: 1.171875
2023-04-22 19:02:48,012 Step 4 - loss: 54.81177520751953 , train acc: 2.734375
2023-04-22 19:02:56,787 Step 5 - loss: 51.10810470581055 , train acc: 0.78125
2023-04-22 19:03:04,570 Step 6 - loss: 47.739479064941406 , train acc: 2.1484375
2023-04-22 19:03:13,445 Step 7 - loss: 44.62395477294922 , train acc: 1.5625
2023-04-22 19:03:21,539 Step 8 - loss: 41.71624755859375 , train acc: 1.7578125
2023-04-22 19:03:29,738 Step 9 - loss: 38.89638900756836 , train acc: 0.9765625
2023-04-22 19:03:37,675 Step 10 - loss: 36.440155029296875 , train acc: 0.78125
2023-04-22 19:03:45,548 Step 11 - loss: 34.14179229736328 , train acc: 2.734375
2023-04-22 19:03:53,183 Step 12 - loss: 31.895217895507812 , train acc: 1.3671875
2023-04-22 19:04:00,924 Step 13 - loss: 29.841476440429688 , train acc: 1.3671875
2023-04-22 19:04:08,706 Step 14 - loss: 28.261322021484375 , train acc: 1.171875
2023-04-22 19:04:17,340 Step 15 - loss: 26.42389488220215 , train acc: 0.9765625
2023-04-22 19:04:25,648 Step 16 - loss: 24.991378784179688 , train acc: 0.1953125
2023-04-22 19:04:35,828 Step 17 - loss: 23.5119571685791 , train acc: 0.78125
2023-04-22 19:04:44,997 Step 18 - loss: 22.37384796142578 , train acc: 0.390625
2023-04-22 19:04:55,493 Step 19 - loss: 21.084491729736328 , train acc: 1.171875
2023-04-22 19:05:05,419 Step 20 - loss: 20.131179809570312 , train acc: 1.7578125
2023-04-22 19:05:16,982 Step 21 - loss: 18.92054557800293 , train acc: 0.9765625
2023-04-22 19:05:26,215 Step 22 - loss: 18.18960952758789 , train acc: 0.1953125
2023-04-22 19:05:35,724 Step 23 - loss: 17.25391387939453 , train acc: 1.3671875
2023-04-22 19:05:44,664 Step 24 - loss: 16.53138542175293 , train acc: 0.1953125
2023-04-22 19:05:53,536 Step 25 - loss: 15.94120979309082 , train acc: 0.5859375
2023-04-22 19:06:02,301 Step 26 - loss: 15.237857818603516 , train acc: 0.0
2023-04-22 19:06:11,108 Step 27 - loss: 14.609153747558594 , train acc: 0.1953125
2023-04-22 19:06:21,344 Step 28 - loss: 14.088471412658691 , train acc: 0.1953125
2023-04-22 19:06:30,447 Step 29 - loss: 13.605302810668945 , train acc: 0.9765625
2023-04-22 19:06:39,585 Step 30 - loss: 13.257288932800293 , train acc: 0.1953125
2023-04-22 19:06:48,947 Step 31 - loss: 12.716669082641602 , train acc: 0.5859375
2023-04-22 19:06:57,747 Step 32 - loss: 12.281851768493652 , train acc: 0.1953125
2023-04-22 19:07:06,528 Step 33 - loss: 11.99468994140625 , train acc: 0.5859375
2023-04-22 19:07:15,657 Step 34 - loss: 11.682443618774414 , train acc: 0.5859375
2023-04-22 19:07:25,862 Step 35 - loss: 11.320732116699219 , train acc: 0.5859375
2023-04-22 19:07:36,767 Step 36 - loss: 10.991740226745605 , train acc: 0.390625
2023-04-22 19:07:45,172 Step 37 - loss: 10.748067855834961 , train acc: 0.390625
2023-04-22 19:07:54,230 Step 38 - loss: 10.532892227172852 , train acc: 0.78125
2023-04-22 19:08:04,054 Step 39 - loss: 10.249369621276855 , train acc: 0.78125
2023-04-22 19:08:13,949 Step 40 - loss: 10.006904602050781 , train acc: 0.5859375
2023-04-22 19:08:23,332 Step 41 - loss: 9.791816711425781 , train acc: 1.3671875
2023-04-22 19:08:32,676 Step 42 - loss: 9.630702018737793 , train acc: 0.9765625
2023-04-22 19:08:42,168 Step 43 - loss: 9.362297058105469 , train acc: 1.7578125
2023-04-22 19:08:51,532 Step 44 - loss: 9.222225189208984 , train acc: 1.171875
2023-04-22 19:08:59,684 Step 45 - loss: 9.022523880004883 , train acc: 0.9765625
2023-04-22 19:09:08,840 Step 46 - loss: 8.931151390075684 , train acc: 0.5859375
2023-04-22 19:09:18,007 Step 47 - loss: 8.766777038574219 , train acc: 1.3671875
2023-04-22 19:09:27,662 Step 48 - loss: 8.642870903015137 , train acc: 0.390625
2023-04-22 19:09:37,533 Step 49 - loss: 8.493208885192871 , train acc: 0.1953125
2023-04-22 19:09:47,662 Step 50 - loss: 8.339691162109375 , train acc: 2.1484375
2023-04-22 19:09:57,124 Step 51 - loss: 8.236608505249023 , train acc: 0.78125
2023-04-22 19:10:07,842 Step 52 - loss: 8.125321388244629 , train acc: 0.78125
2023-04-22 19:10:18,076 Step 53 - loss: 8.00973129272461 , train acc: 0.9765625
2023-04-22 19:10:26,863 Step 54 - loss: 7.893713474273682 , train acc: 1.953125
2023-04-22 19:10:36,400 Step 55 - loss: 7.819451332092285 , train acc: 1.171875
2023-04-22 19:10:45,607 Step 56 - loss: 7.720576286315918 , train acc: 1.7578125
2023-04-22 19:10:55,952 Step 57 - loss: 7.619011402130127 , train acc: 0.9765625
2023-04-22 19:11:05,186 Step 58 - loss: 7.529088973999023 , train acc: 0.9765625
2023-04-22 19:11:16,402 Step 59 - loss: 7.455087661743164 , train acc: 2.1484375
2023-04-22 19:11:26,080 Step 60 - loss: 7.404797554016113 , train acc: 1.3671875
2023-04-22 19:11:36,256 Step 61 - loss: 7.334606170654297 , train acc: 2.1484375
2023-04-22 19:11:46,078 Step 62 - loss: 7.245460033416748 , train acc: 0.9765625
2023-04-22 19:11:56,111 Step 63 - loss: 7.202255725860596 , train acc: 2.1484375
2023-04-22 19:12:06,754 Step 64 - loss: 7.152159690856934 , train acc: 2.34375
2023-04-22 19:12:15,681 Step 65 - loss: 7.066795825958252 , train acc: 2.34375
2023-04-22 19:12:24,843 Step 66 - loss: 7.0071258544921875 , train acc: 1.953125
2023-04-22 19:12:35,531 Step 67 - loss: 6.962238788604736 , train acc: 1.3671875
2023-04-22 19:12:45,944 Step 68 - loss: 6.887536525726318 , train acc: 3.125
2023-04-22 19:12:55,573 Step 69 - loss: 6.853975296020508 , train acc: 1.7578125
2023-04-22 19:13:04,530 Step 70 - loss: 6.799848556518555 , train acc: 1.3671875
2023-04-22 19:13:15,002 Step 71 - loss: 6.764867782592773 , train acc: 1.171875
2023-04-22 19:13:24,429 Step 72 - loss: 6.711911201477051 , train acc: 2.5390625
2023-04-22 19:13:35,201 Step 73 - loss: 6.642775058746338 , train acc: 1.171875
2023-04-22 19:13:45,078 Step 74 - loss: 6.627264499664307 , train acc: 1.953125
2023-04-22 19:13:55,541 Step 75 - loss: 6.609041213989258 , train acc: 1.3671875
2023-04-22 19:14:04,595 Step 76 - loss: 6.546297073364258 , train acc: 2.734375
2023-04-22 19:14:14,179 Step 77 - loss: 6.540761947631836 , train acc: 1.953125
2023-04-22 19:14:24,230 Step 78 - loss: 6.485935211181641 , train acc: 1.5625
2023-04-22 19:14:34,781 Step 79 - loss: 6.436366558074951 , train acc: 1.5625
2023-04-22 19:14:44,276 Step 80 - loss: 6.422044277191162 , train acc: 3.515625
2023-04-22 19:14:54,168 Step 81 - loss: 6.392864227294922 , train acc: 1.7578125
2023-04-22 19:15:03,568 Step 82 - loss: 6.362523078918457 , train acc: 2.34375
2023-04-22 19:15:13,112 Step 83 - loss: 6.333968162536621 , train acc: 2.9296875
2023-04-22 19:15:23,723 Step 84 - loss: 6.2953619956970215 , train acc: 2.1484375
2023-04-22 19:15:34,801 Step 85 - loss: 6.297216415405273 , train acc: 2.9296875
2023-04-22 19:15:45,683 Step 86 - loss: 6.244340896606445 , train acc: 2.734375
2023-04-22 19:15:55,292 Step 87 - loss: 6.255155563354492 , train acc: 3.3203125
2023-04-22 19:16:06,004 Step 88 - loss: 6.232006072998047 , train acc: 1.953125
2023-04-22 19:16:16,080 Step 89 - loss: 6.180184364318848 , train acc: 2.5390625
2023-04-22 19:16:26,127 Step 90 - loss: 6.175328254699707 , train acc: 1.953125
2023-04-22 19:16:35,383 Step 91 - loss: 6.135566711425781 , train acc: 2.1484375
2023-04-22 19:16:45,593 Step 92 - loss: 6.1203107833862305 , train acc: 2.734375
2023-04-22 19:16:55,233 Step 93 - loss: 6.097630977630615 , train acc: 3.7109375
2023-04-22 19:17:05,632 Step 94 - loss: 6.080557823181152 , train acc: 3.3203125
2023-04-22 19:17:14,138 Step 95 - loss: 6.062963008880615 , train acc: 3.125
2023-04-22 19:17:23,521 Step 96 - loss: 6.059847354888916 , train acc: 3.125
2023-04-22 19:17:30,571 Step 97 - loss: 6.01252555847168 , train acc: 3.5714285714285716
2023-04-22 19:17:30,617 Evaluate Epoch: 0
2023-04-22 19:20:48,228 Correct: 257 / Total: 10000
2023-04-22 19:20:48,229 Average val loss: 6.013474464416504
2023-04-22 19:20:48,229 Average val acc: 2.57
2023-04-22 19:20:48,689 Best test acc: 2.57
2023-04-22 19:20:48,689 Best model saved at ./checkpoints/ViLT_cifar100_task_description_0.pt
2023-04-22 19:20:48,690 Train Epoch: 1
2023-04-22 19:20:58,464 Step 98 - loss: 6.0177483558654785 , train acc: 2.734375
2023-04-22 19:21:08,419 Step 99 - loss: 5.992788314819336 , train acc: 2.1484375
2023-04-22 19:21:17,703 Step 100 - loss: 5.99735164642334 , train acc: 2.34375
2023-04-22 19:21:27,242 Step 101 - loss: 5.9624714851379395 , train acc: 2.34375
2023-04-22 19:21:36,980 Step 102 - loss: 5.946809768676758 , train acc: 2.5390625
2023-04-22 19:21:46,229 Step 103 - loss: 5.937185287475586 , train acc: 2.734375
2023-04-22 19:21:55,396 Step 104 - loss: 5.938913822174072 , train acc: 1.7578125
2023-04-22 19:22:05,312 Step 105 - loss: 5.924276351928711 , train acc: 2.34375
2023-04-22 19:22:14,730 Step 106 - loss: 5.926408767700195 , train acc: 1.5625
2023-04-22 19:22:24,884 Step 107 - loss: 5.882626056671143 , train acc: 2.1484375
2023-04-22 19:22:34,821 Step 108 - loss: 5.887852191925049 , train acc: 2.1484375
2023-04-22 19:22:45,121 Step 109 - loss: 5.872287750244141 , train acc: 2.1484375
2023-04-22 19:22:55,109 Step 110 - loss: 5.848292350769043 , train acc: 1.171875
2023-04-22 19:23:03,742 Step 111 - loss: 5.84456729888916 , train acc: 2.1484375
2023-04-22 19:23:13,394 Step 112 - loss: 5.845966339111328 , train acc: 2.734375
2023-04-22 19:23:24,274 Step 113 - loss: 5.845830917358398 , train acc: 1.3671875
2023-04-22 19:23:34,705 Step 114 - loss: 5.806978225708008 , train acc: 2.734375
2023-04-22 19:23:45,043 Step 115 - loss: 5.802783012390137 , train acc: 3.7109375
2023-04-22 19:23:54,916 Step 116 - loss: 5.791096210479736 , train acc: 2.734375
2023-04-22 19:24:06,187 Step 117 - loss: 5.778648853302002 , train acc: 1.953125
2023-04-22 19:24:16,074 Step 118 - loss: 5.761402130126953 , train acc: 3.125
2023-04-22 19:24:25,995 Step 119 - loss: 5.770881652832031 , train acc: 1.5625
2023-04-22 19:24:35,864 Step 120 - loss: 5.760557174682617 , train acc: 2.34375
2023-04-22 19:24:46,798 Step 121 - loss: 5.754234790802002 , train acc: 2.1484375
2023-04-22 19:24:55,467 Step 122 - loss: 5.740302562713623 , train acc: 2.9296875
2023-04-22 19:25:04,935 Step 123 - loss: 5.750012397766113 , train acc: 1.7578125
2023-04-22 19:25:14,682 Step 124 - loss: 5.745541095733643 , train acc: 1.3671875
2023-04-22 19:25:25,210 Step 125 - loss: 5.726254940032959 , train acc: 2.34375
2023-04-22 19:25:33,416 Step 126 - loss: 5.713436126708984 , train acc: 1.953125
2023-04-22 19:25:42,931 Step 127 - loss: 5.711033344268799 , train acc: 3.125
2023-04-22 19:25:52,139 Step 128 - loss: 5.714931011199951 , train acc: 0.78125
2023-04-22 19:26:00,800 Step 129 - loss: 5.694298267364502 , train acc: 2.34375
2023-04-22 19:26:10,313 Step 130 - loss: 5.7003021240234375 , train acc: 3.3203125
2023-04-22 19:26:20,806 Step 131 - loss: 5.693911552429199 , train acc: 1.5625
2023-04-22 19:26:29,732 Step 132 - loss: 5.686515808105469 , train acc: 3.125
2023-04-22 19:26:39,393 Step 133 - loss: 5.685393333435059 , train acc: 1.3671875
2023-04-22 19:26:49,242 Step 134 - loss: 5.668848991394043 , train acc: 2.9296875
2023-04-22 19:27:00,030 Step 135 - loss: 5.667693138122559 , train acc: 2.9296875
2023-04-22 19:27:08,594 Step 136 - loss: 5.646331787109375 , train acc: 3.90625
2023-04-22 19:27:16,859 Step 137 - loss: 5.647832870483398 , train acc: 3.125
2023-04-22 19:27:27,409 Step 138 - loss: 5.655344009399414 , train acc: 2.734375
2023-04-22 19:27:38,116 Step 139 - loss: 5.636612892150879 , train acc: 5.46875
2023-04-22 19:27:48,299 Step 140 - loss: 5.64341926574707 , train acc: 2.5390625
2023-04-22 19:27:59,092 Step 141 - loss: 5.63584041595459 , train acc: 2.5390625
2023-04-22 19:28:10,208 Step 142 - loss: 5.627520561218262 , train acc: 2.5390625
2023-04-22 19:28:19,379 Step 143 - loss: 5.6229963302612305 , train acc: 3.3203125
2023-04-22 19:28:28,824 Step 144 - loss: 5.6203227043151855 , train acc: 4.8828125
2023-04-22 19:28:38,029 Step 145 - loss: 5.624568939208984 , train acc: 1.953125
2023-04-22 19:28:48,476 Step 146 - loss: 5.612809181213379 , train acc: 2.734375
2023-04-22 19:28:58,147 Step 147 - loss: 5.6042914390563965 , train acc: 4.4921875
2023-04-22 19:29:08,775 Step 148 - loss: 5.598097801208496 , train acc: 6.0546875
2023-04-22 19:29:17,798 Step 149 - loss: 5.598828315734863 , train acc: 3.3203125
2023-04-22 19:29:29,470 Step 150 - loss: 5.590862274169922 , train acc: 3.7109375
2023-04-22 19:29:38,015 Step 151 - loss: 5.599814414978027 , train acc: 2.9296875
2023-04-22 19:29:47,324 Step 152 - loss: 5.577903747558594 , train acc: 4.4921875
2023-04-22 19:29:57,768 Step 153 - loss: 5.605192184448242 , train acc: 1.7578125
2023-04-22 19:30:08,728 Step 154 - loss: 5.5955705642700195 , train acc: 2.34375
2023-04-22 19:30:18,624 Step 155 - loss: 5.5797119140625 , train acc: 3.3203125
2023-04-22 19:30:28,791 Step 156 - loss: 5.575372695922852 , train acc: 4.296875
2023-04-22 19:30:38,408 Step 157 - loss: 5.573855876922607 , train acc: 1.5625
2023-04-22 19:30:48,653 Step 158 - loss: 5.573644638061523 , train acc: 2.5390625
2023-04-22 19:30:58,534 Step 159 - loss: 5.57038688659668 , train acc: 2.734375
2023-04-22 19:31:08,101 Step 160 - loss: 5.571264743804932 , train acc: 3.7109375
2023-04-22 19:31:19,207 Step 161 - loss: 5.563651084899902 , train acc: 3.3203125
2023-04-22 19:31:29,496 Step 162 - loss: 5.5578932762146 , train acc: 3.3203125
2023-04-22 19:31:38,641 Step 163 - loss: 5.560935020446777 , train acc: 4.1015625
2023-04-22 19:31:49,076 Step 164 - loss: 5.560690879821777 , train acc: 2.9296875
2023-04-22 19:31:59,444 Step 165 - loss: 5.5391130447387695 , train acc: 3.3203125
2023-04-22 19:32:09,050 Step 166 - loss: 5.548035144805908 , train acc: 4.1015625
2023-04-22 19:32:18,275 Step 167 - loss: 5.5533552169799805 , train acc: 3.7109375
2023-04-22 19:32:27,834 Step 168 - loss: 5.533992290496826 , train acc: 4.1015625
2023-04-22 19:32:38,474 Step 169 - loss: 5.540849685668945 , train acc: 2.734375
2023-04-22 19:32:49,783 Step 170 - loss: 5.551207542419434 , train acc: 3.125
2023-04-22 19:32:59,783 Step 171 - loss: 5.542216777801514 , train acc: 3.7109375
2023-04-22 19:33:10,359 Step 172 - loss: 5.526937484741211 , train acc: 4.4921875
2023-04-22 19:33:19,623 Step 173 - loss: 5.5389251708984375 , train acc: 2.734375
2023-04-22 19:33:29,016 Step 174 - loss: 5.533990859985352 , train acc: 4.296875
2023-04-22 19:33:39,028 Step 175 - loss: 5.525219917297363 , train acc: 4.296875
2023-04-22 19:33:49,024 Step 176 - loss: 5.52317476272583 , train acc: 3.125
2023-04-22 19:33:58,442 Step 177 - loss: 5.492267608642578 , train acc: 3.90625
2023-04-22 19:34:08,730 Step 178 - loss: 5.522951126098633 , train acc: 3.515625
2023-04-22 19:34:18,590 Step 179 - loss: 5.521223068237305 , train acc: 4.1015625
2023-04-22 19:34:28,282 Step 180 - loss: 5.5111517906188965 , train acc: 4.296875
2023-04-22 19:34:39,210 Step 181 - loss: 5.509578227996826 , train acc: 4.296875
2023-04-22 19:34:48,870 Step 182 - loss: 5.513253211975098 , train acc: 4.4921875
2023-04-22 19:34:59,638 Step 183 - loss: 5.523478031158447 , train acc: 3.125
2023-04-22 19:35:09,076 Step 184 - loss: 5.503249168395996 , train acc: 2.9296875
2023-04-22 19:35:21,195 Step 185 - loss: 5.518797874450684 , train acc: 3.90625
2023-04-22 19:35:31,199 Step 186 - loss: 5.490703105926514 , train acc: 5.078125
2023-04-22 19:35:40,892 Step 187 - loss: 5.503878116607666 , train acc: 3.90625
2023-04-22 19:35:50,574 Step 188 - loss: 5.495281219482422 , train acc: 3.7109375
2023-04-22 19:36:00,652 Step 189 - loss: 5.502130031585693 , train acc: 5.078125
2023-04-22 19:36:10,962 Step 190 - loss: 5.506948471069336 , train acc: 3.7109375
2023-04-22 19:36:20,299 Step 191 - loss: 5.499417304992676 , train acc: 3.90625
2023-04-22 19:36:30,152 Step 192 - loss: 5.510375022888184 , train acc: 3.7109375
2023-04-22 19:36:40,482 Step 193 - loss: 5.4872589111328125 , train acc: 5.2734375
2023-04-22 19:36:50,361 Step 194 - loss: 5.509065628051758 , train acc: 3.515625
2023-04-22 19:36:57,569 Step 195 - loss: 5.504125595092773 , train acc: 4.464285714285714
2023-04-22 19:36:57,615 Evaluate Epoch: 1
2023-04-22 19:40:10,781 Correct: 466 / Total: 10000
2023-04-22 19:40:10,781 Average val loss: 5.490204811096191
2023-04-22 19:40:10,781 Average val acc: 4.66
2023-04-22 19:40:11,362 Best test acc: 4.66
2023-04-22 19:40:11,362 Best model saved at ./checkpoints/ViLT_cifar100_task_description_1.pt
2023-04-22 19:40:11,363 Train Epoch: 2
2023-04-22 19:40:20,521 Step 196 - loss: 5.483178615570068 , train acc: 4.1015625
2023-04-22 19:40:31,260 Step 197 - loss: 5.494048118591309 , train acc: 4.4921875
2023-04-22 19:40:41,283 Step 198 - loss: 5.469654560089111 , train acc: 4.8828125
2023-04-22 19:40:51,837 Step 199 - loss: 5.49262809753418 , train acc: 3.515625
2023-04-22 19:41:01,409 Step 200 - loss: 5.478404998779297 , train acc: 5.2734375
2023-04-22 19:41:12,186 Step 201 - loss: 5.494585990905762 , train acc: 3.515625
2023-04-22 19:41:22,502 Step 202 - loss: 5.474501609802246 , train acc: 6.25
2023-04-22 19:41:30,886 Step 203 - loss: 5.468781471252441 , train acc: 6.0546875
2023-04-22 19:41:40,139 Step 204 - loss: 5.494230270385742 , train acc: 4.296875
2023-04-22 19:41:50,469 Step 205 - loss: 5.467282295227051 , train acc: 5.46875
2023-04-22 19:42:00,176 Step 206 - loss: 5.470612049102783 , train acc: 3.515625
2023-04-22 19:42:09,109 Step 207 - loss: 5.481940269470215 , train acc: 4.4921875
2023-04-22 19:42:18,029 Step 208 - loss: 5.447704315185547 , train acc: 6.4453125
2023-04-22 19:42:28,845 Step 209 - loss: 5.4596943855285645 , train acc: 4.6875
2023-04-22 19:42:39,637 Step 210 - loss: 5.473957061767578 , train acc: 4.6875
2023-04-22 19:42:50,198 Step 211 - loss: 5.458989143371582 , train acc: 4.6875
2023-04-22 19:43:01,830 Step 212 - loss: 5.4797444343566895 , train acc: 3.90625
2023-04-22 19:43:12,757 Step 213 - loss: 5.470325946807861 , train acc: 3.7109375
2023-04-22 19:43:23,049 Step 214 - loss: 5.475164413452148 , train acc: 4.6875
2023-04-22 19:43:33,981 Step 215 - loss: 5.474922180175781 , train acc: 4.1015625
2023-04-22 19:43:43,504 Step 216 - loss: 5.44449520111084 , train acc: 5.859375
2023-04-22 19:43:54,104 Step 217 - loss: 5.462993621826172 , train acc: 5.46875
2023-04-22 19:44:03,432 Step 218 - loss: 5.455039978027344 , train acc: 3.90625
2023-04-22 19:44:13,115 Step 219 - loss: 5.454124450683594 , train acc: 5.6640625
2023-04-22 19:44:22,467 Step 220 - loss: 5.470077037811279 , train acc: 4.296875
2023-04-22 19:44:32,422 Step 221 - loss: 5.4460296630859375 , train acc: 4.296875
2023-04-22 19:44:43,017 Step 222 - loss: 5.4240875244140625 , train acc: 6.25
2023-04-22 19:44:52,835 Step 223 - loss: 5.467991352081299 , train acc: 5.2734375
2023-04-22 19:45:01,166 Step 224 - loss: 5.443660736083984 , train acc: 6.640625
2023-04-22 19:45:11,696 Step 225 - loss: 5.465461254119873 , train acc: 5.46875
2023-04-22 19:45:20,949 Step 226 - loss: 5.48391580581665 , train acc: 2.34375
2023-04-22 19:45:29,655 Step 227 - loss: 5.453365802764893 , train acc: 4.8828125
2023-04-22 19:45:40,934 Step 228 - loss: 5.444952964782715 , train acc: 5.2734375
2023-04-22 19:45:51,604 Step 229 - loss: 5.43643856048584 , train acc: 5.859375
2023-04-22 19:46:00,522 Step 230 - loss: 5.456801891326904 , train acc: 3.90625
2023-04-22 19:46:09,918 Step 231 - loss: 5.4368109703063965 , train acc: 5.6640625
2023-04-22 19:46:19,317 Step 232 - loss: 5.430182456970215 , train acc: 7.2265625
2023-04-22 19:46:30,824 Step 233 - loss: 5.431941986083984 , train acc: 4.6875
2023-04-22 19:46:39,069 Step 234 - loss: 5.4585089683532715 , train acc: 5.2734375
2023-04-22 19:46:49,163 Step 235 - loss: 5.427879810333252 , train acc: 7.6171875
2023-04-22 19:46:59,601 Step 236 - loss: 5.445443630218506 , train acc: 7.2265625
2023-04-22 19:47:10,096 Step 237 - loss: 5.432149410247803 , train acc: 5.2734375
2023-04-22 19:47:19,022 Step 238 - loss: 5.437073230743408 , train acc: 6.8359375
2023-04-22 19:47:27,831 Step 239 - loss: 5.434208869934082 , train acc: 6.640625
2023-04-22 19:47:38,157 Step 240 - loss: 5.447537899017334 , train acc: 4.6875
2023-04-22 19:47:47,448 Step 241 - loss: 5.40457010269165 , train acc: 7.2265625
2023-04-22 19:47:58,661 Step 242 - loss: 5.436020851135254 , train acc: 6.25
2023-04-22 19:48:09,197 Step 243 - loss: 5.440985202789307 , train acc: 3.7109375
2023-04-22 19:48:18,473 Step 244 - loss: 5.4293341636657715 , train acc: 6.4453125
2023-04-22 19:48:29,232 Step 245 - loss: 5.432906150817871 , train acc: 5.2734375
2023-04-22 19:48:40,013 Step 246 - loss: 5.409951210021973 , train acc: 5.2734375
2023-04-22 19:48:50,807 Step 247 - loss: 5.438494682312012 , train acc: 5.078125
2023-04-22 19:49:00,568 Step 248 - loss: 5.436635971069336 , train acc: 7.03125
2023-04-22 19:49:10,074 Step 249 - loss: 5.424280643463135 , train acc: 6.4453125
2023-04-22 19:49:19,702 Step 250 - loss: 5.424497127532959 , train acc: 7.421875
2023-04-22 19:49:29,521 Step 251 - loss: 5.423333644866943 , train acc: 6.4453125
2023-04-22 19:49:39,504 Step 252 - loss: 5.426448822021484 , train acc: 6.0546875
2023-04-22 19:49:50,043 Step 253 - loss: 5.42822265625 , train acc: 7.03125
2023-04-22 19:49:59,465 Step 254 - loss: 5.430220603942871 , train acc: 6.0546875
2023-04-22 19:50:10,114 Step 255 - loss: 5.417025089263916 , train acc: 7.421875
2023-04-22 19:50:19,831 Step 256 - loss: 5.396286964416504 , train acc: 7.6171875
2023-04-22 19:50:30,613 Step 257 - loss: 5.426044940948486 , train acc: 6.25
2023-04-22 19:50:39,765 Step 258 - loss: 5.410371780395508 , train acc: 6.8359375
2023-04-22 19:50:49,338 Step 259 - loss: 5.406119346618652 , train acc: 6.25
2023-04-22 19:50:59,220 Step 260 - loss: 5.410027503967285 , train acc: 5.859375
2023-04-22 19:51:10,643 Step 261 - loss: 5.404572010040283 , train acc: 7.6171875
2023-04-22 19:51:21,353 Step 262 - loss: 5.407087326049805 , train acc: 6.8359375
2023-04-22 19:51:30,932 Step 263 - loss: 5.3986592292785645 , train acc: 8.7890625
2023-04-22 19:51:40,519 Step 264 - loss: 5.430954456329346 , train acc: 7.2265625
2023-04-22 19:51:50,883 Step 265 - loss: 5.417633056640625 , train acc: 7.421875
2023-04-22 19:51:59,241 Step 266 - loss: 5.395028114318848 , train acc: 8.59375
2023-04-22 19:52:09,468 Step 267 - loss: 5.39546012878418 , train acc: 7.2265625
2023-04-22 19:52:19,099 Step 268 - loss: 5.413926124572754 , train acc: 8.0078125
2023-04-22 19:52:30,027 Step 269 - loss: 5.401562690734863 , train acc: 7.421875
2023-04-22 19:52:40,670 Step 270 - loss: 5.387543678283691 , train acc: 10.15625
2023-04-22 19:52:51,111 Step 271 - loss: 5.415504455566406 , train acc: 6.8359375
2023-04-22 19:53:01,323 Step 272 - loss: 5.397978782653809 , train acc: 6.25
2023-04-22 19:53:12,586 Step 273 - loss: 5.402583122253418 , train acc: 7.6171875
2023-04-22 19:53:21,446 Step 274 - loss: 5.375661849975586 , train acc: 10.9375
2023-04-22 19:53:31,243 Step 275 - loss: 5.397064208984375 , train acc: 8.984375
2023-04-22 19:53:40,209 Step 276 - loss: 5.40030574798584 , train acc: 5.6640625
2023-04-22 19:53:51,448 Step 277 - loss: 5.396889686584473 , train acc: 6.640625
2023-04-22 19:54:01,703 Step 278 - loss: 5.371759414672852 , train acc: 9.9609375
2023-04-22 19:54:11,780 Step 279 - loss: 5.400731086730957 , train acc: 5.859375
2023-04-22 19:54:21,948 Step 280 - loss: 5.394068717956543 , train acc: 8.59375
2023-04-22 19:54:33,537 Step 281 - loss: 5.390433311462402 , train acc: 9.375
2023-04-22 19:54:43,775 Step 282 - loss: 5.396861553192139 , train acc: 8.0078125
