2023-04-10 19:47:04,843 train_batch_size: 512
2023-04-10 19:47:04,843 test_batch_size: 512
2023-04-10 19:47:04,843 lr: 5e-05
2023-04-10 19:47:04,843 num_epochs: 50
2023-04-10 19:47:04,843 max_patience: 1
2023-04-10 19:47:05,754 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-10 19:47:10,557 Train Epoch: 0
2023-04-10 19:47:20,665 Step 0 - loss: 7.298585891723633 , train acc: 7.03125
2023-04-10 19:47:27,148 Step 1 - loss: 6.256843090057373 , train acc: 6.8359375
2023-04-10 19:47:33,784 Step 2 - loss: 5.431035995483398 , train acc: 8.984375
2023-04-10 19:47:40,338 Step 3 - loss: 4.755178928375244 , train acc: 8.203125
2023-04-10 19:47:46,860 Step 4 - loss: 4.201220512390137 , train acc: 12.3046875
2023-04-10 19:47:54,487 Step 5 - loss: 3.8475255966186523 , train acc: 15.625
2023-04-10 19:48:01,106 Step 6 - loss: 3.574486017227173 , train acc: 19.921875
2023-04-10 19:48:07,814 Step 7 - loss: 3.400881290435791 , train acc: 16.6015625
2023-04-10 19:48:14,222 Step 8 - loss: 3.2808661460876465 , train acc: 21.6796875
2023-04-10 19:48:20,789 Step 9 - loss: 3.199770212173462 , train acc: 22.0703125
2023-04-10 19:48:27,287 Step 10 - loss: 3.1708357334136963 , train acc: 21.484375
2023-04-10 19:48:34,715 Step 11 - loss: 3.1365880966186523 , train acc: 30.46875
2023-04-10 19:48:41,300 Step 12 - loss: 3.1403212547302246 , train acc: 32.2265625
2023-04-10 19:48:47,792 Step 13 - loss: 3.133241891860962 , train acc: 34.765625
2023-04-10 19:48:54,117 Step 14 - loss: 3.1471798419952393 , train acc: 34.9609375
2023-04-10 19:49:00,597 Step 15 - loss: 3.1389083862304688 , train acc: 37.5
2023-04-10 19:49:07,123 Step 16 - loss: 3.1181204319000244 , train acc: 36.71875
2023-04-10 19:49:14,662 Step 17 - loss: 3.106649398803711 , train acc: 40.625
2023-04-10 19:49:20,983 Step 18 - loss: 3.095296621322632 , train acc: 43.5546875
2023-04-10 19:49:27,439 Step 19 - loss: 3.081218957901001 , train acc: 42.578125
2023-04-10 19:49:33,857 Step 20 - loss: 3.1019136905670166 , train acc: 35.15625
2023-04-10 19:49:40,356 Step 21 - loss: 3.085456371307373 , train acc: 40.625
2023-04-10 19:49:46,894 Step 22 - loss: 2.999577283859253 , train acc: 48.2421875
2023-04-10 19:49:54,050 Step 23 - loss: 3.01265025138855 , train acc: 42.96875
2023-04-10 19:50:00,918 Step 24 - loss: 3.013258934020996 , train acc: 43.9453125
2023-04-10 19:50:07,378 Step 25 - loss: 2.947634696960449 , train acc: 48.828125
2023-04-10 19:50:13,833 Step 26 - loss: 2.920719623565674 , train acc: 50.1953125
2023-04-10 19:50:20,393 Step 27 - loss: 2.934960126876831 , train acc: 50.78125
2023-04-10 19:50:27,050 Step 28 - loss: 2.9398701190948486 , train acc: 50.5859375
2023-04-10 19:50:34,678 Step 29 - loss: 2.912532329559326 , train acc: 52.1484375
2023-04-10 19:50:41,114 Step 30 - loss: 2.8755176067352295 , train acc: 55.859375
2023-04-10 19:50:47,513 Step 31 - loss: 2.8414340019226074 , train acc: 57.421875
2023-04-10 19:50:54,094 Step 32 - loss: 2.829176902770996 , train acc: 60.15625
2023-04-10 19:51:00,649 Step 33 - loss: 2.7909374237060547 , train acc: 58.59375
2023-04-10 19:51:07,015 Step 34 - loss: 2.7835001945495605 , train acc: 61.5234375
2023-04-10 19:51:13,735 Step 35 - loss: 2.7376275062561035 , train acc: 63.671875
2023-04-10 19:51:20,226 Step 36 - loss: 2.7607977390289307 , train acc: 63.28125
2023-04-10 19:51:26,731 Step 37 - loss: 2.7610490322113037 , train acc: 64.453125
2023-04-10 19:51:33,307 Step 38 - loss: 2.6887080669403076 , train acc: 64.84375
2023-04-10 19:51:39,736 Step 39 - loss: 2.717987060546875 , train acc: 66.6015625
2023-04-10 19:51:46,347 Step 40 - loss: 2.700301170349121 , train acc: 65.8203125
2023-04-10 19:51:53,513 Step 41 - loss: 2.649404764175415 , train acc: 67.96875
2023-04-10 19:51:59,559 Step 42 - loss: 2.6091346740722656 , train acc: 69.3359375
