2023-03-30 20:21:39,789 train_batch_size: 512
2023-03-30 20:21:39,790 test_batch_size: 512
2023-03-30 20:21:39,790 lr: 5e-05
2023-03-30 20:21:39,790 num_epochs: 50
2023-03-30 20:21:39,790 max_patience: 1
2023-03-30 20:21:41,288 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-03-30 20:21:46,101 Train Epoch: 0
2023-03-30 20:21:54,580 Step 0 - loss: 8.224395751953125 , train acc: 10.9375
2023-03-30 20:22:00,678 Step 1 - loss: 7.07615852355957 , train acc: 10.7421875
2023-03-30 20:22:06,233 Step 2 - loss: 6.145665168762207 , train acc: 11.9140625
2023-03-30 20:22:11,749 Step 3 - loss: 5.347916603088379 , train acc: 12.109375
2023-03-30 20:22:17,671 Step 4 - loss: 4.730782508850098 , train acc: 16.6015625
2023-03-30 20:22:23,824 Step 5 - loss: 4.277738571166992 , train acc: 14.0625
2023-03-30 20:22:29,850 Step 6 - loss: 3.9086081981658936 , train acc: 16.015625
2023-03-30 20:22:35,834 Step 7 - loss: 3.6458067893981934 , train acc: 22.265625
2023-03-30 20:22:41,725 Step 8 - loss: 3.4533591270446777 , train acc: 18.5546875
2023-03-30 20:22:47,761 Step 9 - loss: 3.3304355144500732 , train acc: 21.875
2023-03-30 20:22:54,212 Step 10 - loss: 3.232966423034668 , train acc: 25.5859375
2023-03-30 20:23:00,428 Step 11 - loss: 3.1931040287017822 , train acc: 19.53125
2023-03-30 20:23:06,376 Step 12 - loss: 3.1572437286376953 , train acc: 25.5859375
2023-03-30 20:23:12,718 Step 13 - loss: 3.1437644958496094 , train acc: 25.78125
2023-03-30 20:23:19,106 Step 14 - loss: 3.1413087844848633 , train acc: 24.8046875
2023-03-30 20:23:25,386 Step 15 - loss: 3.1347403526306152 , train acc: 26.3671875
2023-03-30 20:23:30,973 Step 16 - loss: 3.1435060501098633 , train acc: 23.046875
2023-03-30 20:23:37,850 Step 17 - loss: 3.1536097526550293 , train acc: 21.875
2023-03-30 20:23:43,644 Step 18 - loss: 3.1428287029266357 , train acc: 33.203125
2023-03-30 20:23:49,747 Step 19 - loss: 3.139634370803833 , train acc: 30.46875
2023-03-30 20:23:56,185 Step 20 - loss: 3.1365368366241455 , train acc: 34.375
2023-03-30 20:24:02,198 Step 21 - loss: 3.1229255199432373 , train acc: 39.84375
2023-03-30 20:24:08,029 Step 22 - loss: 3.0932936668395996 , train acc: 41.40625
2023-03-30 20:24:14,441 Step 23 - loss: 3.106565237045288 , train acc: 43.9453125
2023-03-30 20:24:21,052 Step 24 - loss: 3.091299295425415 , train acc: 42.578125
2023-03-30 20:24:26,974 Step 25 - loss: 3.0623526573181152 , train acc: 46.6796875
2023-03-30 20:24:33,014 Step 26 - loss: 3.0265979766845703 , train acc: 50.1953125
2023-03-30 20:24:39,176 Step 27 - loss: 3.0028223991394043 , train acc: 48.4375
2023-03-30 20:24:45,436 Step 28 - loss: 2.9837558269500732 , train acc: 51.5625
2023-03-30 20:24:51,638 Step 29 - loss: 2.951687812805176 , train acc: 51.7578125
2023-03-30 20:24:57,791 Step 30 - loss: 2.928250312805176 , train acc: 47.265625
2023-03-30 20:25:03,878 Step 31 - loss: 2.9125499725341797 , train acc: 52.734375
2023-03-30 20:25:09,622 Step 32 - loss: 2.9135324954986572 , train acc: 48.828125
2023-03-30 20:25:15,971 Step 33 - loss: 2.881932020187378 , train acc: 49.8046875
2023-03-30 20:25:22,018 Step 34 - loss: 2.8469536304473877 , train acc: 55.078125
2023-03-30 20:25:28,312 Step 35 - loss: 2.8279924392700195 , train acc: 59.765625
2023-03-30 20:25:34,206 Step 36 - loss: 2.7863802909851074 , train acc: 68.75
2023-03-30 20:25:40,479 Step 37 - loss: 2.8076653480529785 , train acc: 63.8671875
2023-03-30 20:25:46,634 Step 38 - loss: 2.7777562141418457 , train acc: 68.9453125
2023-03-30 20:25:52,714 Step 39 - loss: 2.770547866821289 , train acc: 64.0625
2023-03-30 20:25:58,602 Step 40 - loss: 2.7910611629486084 , train acc: 59.765625
2023-03-30 20:26:05,002 Step 41 - loss: 2.749814987182617 , train acc: 63.0859375
2023-03-30 20:26:10,802 Step 42 - loss: 2.7307913303375244 , train acc: 64.0625
2023-03-30 20:26:16,917 Step 43 - loss: 2.711135149002075 , train acc: 64.0625
2023-03-30 20:26:22,837 Step 44 - loss: 2.7050905227661133 , train acc: 65.234375
2023-03-30 20:26:28,827 Step 45 - loss: 2.7205123901367188 , train acc: 65.4296875
2023-03-30 20:26:34,654 Step 46 - loss: 2.6411118507385254 , train acc: 67.3828125
2023-03-30 20:26:40,621 Step 47 - loss: 2.642960786819458 , train acc: 66.796875
2023-03-30 20:26:46,515 Step 48 - loss: 2.616363763809204 , train acc: 65.625
2023-03-30 20:26:52,525 Step 49 - loss: 2.580352306365967 , train acc: 71.6796875
2023-03-30 20:26:58,466 Step 50 - loss: 2.5842795372009277 , train acc: 69.140625
2023-03-30 20:27:04,355 Step 51 - loss: 2.580190658569336 , train acc: 68.359375
2023-03-30 20:27:10,292 Step 52 - loss: 2.5345757007598877 , train acc: 72.65625
2023-03-30 20:27:16,442 Step 53 - loss: 2.5328569412231445 , train acc: 72.265625
2023-03-30 20:27:22,324 Step 54 - loss: 2.4595870971679688 , train acc: 76.953125
2023-03-30 20:27:28,286 Step 55 - loss: 2.5088117122650146 , train acc: 72.4609375
2023-03-30 20:27:34,381 Step 56 - loss: 2.475289821624756 , train acc: 71.875
2023-03-30 20:27:41,032 Step 57 - loss: 2.423696517944336 , train acc: 77.734375
2023-03-30 20:27:47,164 Step 58 - loss: 2.4415149688720703 , train acc: 77.734375
2023-03-30 20:27:53,624 Step 59 - loss: 2.3985533714294434 , train acc: 77.734375
2023-03-30 20:27:59,438 Step 60 - loss: 2.397240161895752 , train acc: 76.953125
2023-03-30 20:28:05,013 Step 61 - loss: 2.3260045051574707 , train acc: 80.6640625
2023-03-30 20:28:10,822 Step 62 - loss: 2.365565061569214 , train acc: 77.1484375
2023-03-30 20:28:16,575 Step 63 - loss: 2.2873589992523193 , train acc: 79.296875
2023-03-30 20:28:23,767 Step 64 - loss: 2.2360525131225586 , train acc: 79.4921875
2023-03-30 20:28:29,720 Step 65 - loss: 2.2509210109710693 , train acc: 78.125
