2023-04-23 17:06:45,171 train_batch_size: 512
2023-04-23 17:06:45,172 test_batch_size: 512
2023-04-23 17:06:45,172 lr: 5e-05
2023-04-23 17:06:45,172 num_epochs: 50
2023-04-23 17:06:45,172 max_patience: 1
2023-04-23 17:06:46,343 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-23 17:06:56,148 Train Epoch: 0
2023-04-23 17:07:04,195 Step 0 - loss: 7.795925140380859 , train acc: 13.0859375
2023-04-23 17:07:09,670 Step 1 - loss: 6.680513381958008 , train acc: 18.359375
2023-04-23 17:07:15,426 Step 2 - loss: 5.800019264221191 , train acc: 17.96875
2023-04-23 17:07:20,920 Step 3 - loss: 5.047582626342773 , train acc: 29.4921875
2023-04-23 17:07:26,304 Step 4 - loss: 4.4629225730896 , train acc: 25.0
2023-04-23 17:07:31,931 Step 5 - loss: 4.018745422363281 , train acc: 27.34375
2023-04-23 17:07:37,289 Step 6 - loss: 3.673534870147705 , train acc: 27.1484375
2023-04-23 17:07:42,549 Step 7 - loss: 3.4231481552124023 , train acc: 27.1484375
2023-04-23 17:07:48,462 Step 8 - loss: 3.2644712924957275 , train acc: 30.078125
2023-04-23 17:07:53,734 Step 9 - loss: 3.1300806999206543 , train acc: 37.3046875
2023-04-23 17:07:58,992 Step 10 - loss: 3.043738603591919 , train acc: 42.96875
2023-04-23 17:08:04,273 Step 11 - loss: 3.011141300201416 , train acc: 37.6953125
2023-04-23 17:08:09,560 Step 12 - loss: 2.96527361869812 , train acc: 37.6953125
2023-04-23 17:08:14,818 Step 13 - loss: 2.998202323913574 , train acc: 37.890625
2023-04-23 17:08:20,126 Step 14 - loss: 2.9324471950531006 , train acc: 37.890625
2023-04-23 17:08:25,404 Step 15 - loss: 2.9418044090270996 , train acc: 38.671875
2023-04-23 17:08:30,671 Step 16 - loss: 2.9113922119140625 , train acc: 42.578125
2023-04-23 17:08:36,151 Step 17 - loss: 2.882408618927002 , train acc: 43.359375
2023-04-23 17:08:41,461 Step 18 - loss: 2.922581672668457 , train acc: 41.40625
2023-04-23 17:08:46,877 Step 19 - loss: 2.8703503608703613 , train acc: 44.921875
2023-04-23 17:08:52,191 Step 20 - loss: 2.900087594985962 , train acc: 45.1171875
2023-04-23 17:08:57,789 Step 21 - loss: 2.8508553504943848 , train acc: 43.9453125
2023-04-23 17:09:03,273 Step 22 - loss: 2.8283915519714355 , train acc: 47.0703125
2023-04-23 17:09:08,595 Step 23 - loss: 2.797574996948242 , train acc: 48.4375
2023-04-23 17:09:13,813 Step 24 - loss: 2.7969810962677 , train acc: 42.3828125
2023-04-23 17:09:19,088 Step 25 - loss: 2.7278592586517334 , train acc: 48.4375
2023-04-23 17:09:24,320 Step 26 - loss: 2.7824959754943848 , train acc: 45.3125
2023-04-23 17:09:29,586 Step 27 - loss: 2.7646543979644775 , train acc: 45.5078125
2023-04-23 17:09:34,842 Step 28 - loss: 2.7286956310272217 , train acc: 47.4609375
2023-04-23 17:09:40,347 Step 29 - loss: 2.6791300773620605 , train acc: 52.1484375
2023-04-23 17:09:45,600 Step 30 - loss: 2.696262836456299 , train acc: 50.390625
