Batch 2, Loss: 2.3729
Batch 3, Loss: 2.3784
Batch 4, Loss: 2.3538
Batch 5, Loss: 2.3186
Batch 6, Loss: 2.2968
Batch 7, Loss: 2.3381
Batch 8, Loss: 2.3466
Batch 9, Loss: 2.3844
Batch 10, Loss: 2.3479
Batch 11, Loss: 2.3918
Batch 12, Loss: 2.3568
Batch 13, Loss: 2.2971
Batch 14, Loss: 2.3266
Batch 15, Loss: 2.3269
Batch 16, Loss: 2.3447
Batch 17, Loss: 2.3588
Batch 18, Loss: 2.3540
Batch 19, Loss: 2.3246
Batch 20, Loss: 2.4114
Batch 21, Loss: 2.3469
Batch 22, Loss: 2.3386
Batch 23, Loss: 2.3512
Batch 24, Loss: 2.3408
Batch 25, Loss: 2.3161
Batch 26, Loss: 2.3651
Batch 27, Loss: 2.3579
Batch 28, Loss: 2.3559
Batch 29, Loss: 2.3387
Batch 30, Loss: 2.3317
Batch 31, Loss: 2.3517
Batch 32, Loss: 2.3574
Batch 33, Loss: 2.3202
Batch 34, Loss: 2.3435
Batch 35, Loss: 2.3421
Batch 36, Loss: 2.3340
Batch 37, Loss: 2.3196
Batch 38, Loss: 2.3106
Batch 39, Loss: 2.3560
Batch 40, Loss: 2.3494
Batch 41, Loss: 2.3235
Batch 42, Loss: 2.3316
Batch 43, Loss: 2.3658
Batch 44, Loss: 2.3482
Batch 45, Loss: 2.3481
Batch 46, Loss: 2.3321
Batch 47, Loss: 2.3233
Batch 48, Loss: 2.3001
Batch 49, Loss: 2.3369
Batch 50, Loss: 2.3567
Batch 51, Loss: 2.3605
Batch 52, Loss: 2.3094
Batch 53, Loss: 2.3295
Batch 54, Loss: 2.3347
Batch 55, Loss: 2.3061
Batch 56, Loss: 2.3029
Batch 57, Loss: 2.3084
Batch 58, Loss: 2.3265
Batch 59, Loss: 2.3476
Batch 60, Loss: 2.3539
Batch 61, Loss: 2.3017
Batch 62, Loss: 2.3018
Batch 63, Loss: 2.3166
Batch 64, Loss: 2.3382
Batch 65, Loss: 2.2713
Batch 66, Loss: 2.3280
Batch 67, Loss: 2.3204
Batch 68, Loss: 2.3195
Batch 69, Loss: 2.3057
Batch 70, Loss: 2.3211
Batch 71, Loss: 2.3279
Batch 72, Loss: 2.3571
Batch 73, Loss: 2.3465
Batch 74, Loss: 2.3137
Batch 75, Loss: 2.3078
Batch 76, Loss: 2.3175
Batch 77, Loss: 2.2926
Batch 78, Loss: 2.2881
Batch 79, Loss: 2.3138
Batch 80, Loss: 2.3188
Batch 81, Loss: 2.3315
Batch 82, Loss: 2.3499
Batch 83, Loss: 2.3042
Batch 84, Loss: 2.3254
Batch 85, Loss: 2.2915
Batch 86, Loss: 2.3152
Batch 87, Loss: 2.3381
Batch 88, Loss: 2.3236
Batch 89, Loss: 2.3363
Batch 90, Loss: 2.2832
Batch 91, Loss: 2.2947
Batch 92, Loss: 2.3193
Batch 93, Loss: 2.2981
Batch 94, Loss: 2.2932
Batch 95, Loss: 2.3155
Batch 96, Loss: 2.3064
Batch 97, Loss: 2.3269
Batch 98, Loss: 2.2778
Batch 99, Loss: 2.3233
Batch 100, Loss: 2.3267
Batch 101, Loss: 2.3356
Batch 102, Loss: 2.2987
Batch 103, Loss: 2.3079
Batch 104, Loss: 2.3031
Batch 105, Loss: 2.2932
Batch 106, Loss: 2.2897
Batch 107, Loss: 2.3006
Batch 108, Loss: 2.3057
Batch 109, Loss: 2.3266
Batch 110, Loss: 2.3079
Batch 111, Loss: 2.2926
Batch 112, Loss: 2.3213
Batch 113, Loss: 2.2957
Batch 114, Loss: 2.2997
Batch 115, Loss: 2.2950
Batch 116, Loss: 2.3024
Batch 117, Loss: 2.3331
Batch 118, Loss: 2.3124
Batch 119, Loss: 2.2856
Batch 120, Loss: 2.3100
Batch 121, Loss: 2.2776
Batch 122, Loss: 2.2930
Batch 123, Loss: 2.2778
Batch 124, Loss: 2.2786
Batch 125, Loss: 2.3048
Batch 126, Loss: 2.3319
Batch 127, Loss: 2.3065
Batch 128, Loss: 2.2647
Batch 129, Loss: 2.2978
Batch 130, Loss: 2.2772
Batch 131, Loss: 2.2751
Batch 132, Loss: 2.2894
Batch 133, Loss: 2.3067
Batch 134, Loss: 2.2739
Batch 135, Loss: 2.2910
Batch 136, Loss: 2.2893
Batch 137, Loss: 2.2893
Batch 138, Loss: 2.2617
Batch 139, Loss: 2.2946
Batch 140, Loss: 2.2991
Batch 141, Loss: 2.2575
Batch 142, Loss: 2.2892
Batch 143, Loss: 2.2530
Batch 144, Loss: 2.2829
Batch 145, Loss: 2.3016
Batch 146, Loss: 2.2743
Batch 147, Loss: 2.2856
Batch 148, Loss: 2.3067
Batch 149, Loss: 2.2834
Batch 150, Loss: 2.2761
Batch 151, Loss: 2.2717
Batch 152, Loss: 2.2751
Batch 153, Loss: 2.2739
Batch 154, Loss: 2.2815
Batch 155, Loss: 2.2853
Batch 156, Loss: 2.2782
Batch 157, Loss: 2.2656
Batch 158, Loss: 2.2467
Batch 159, Loss: 2.2577
Batch 160, Loss: 2.2540
Batch 161, Loss: 2.2665
Batch 162, Loss: 2.3090
Batch 163, Loss: 2.2802
Batch 164, Loss: 2.2757
Batch 165, Loss: 2.2770
Batch 166, Loss: 2.2955
Batch 167, Loss: 2.2775
Batch 168, Loss: 2.2409
Batch 169, Loss: 2.2633
Batch 170, Loss: 2.2655
Batch 171, Loss: 2.2497
Batch 172, Loss: 2.2674
Batch 173, Loss: 2.2581
Batch 174, Loss: 2.2594
Batch 175, Loss: 2.2467
Batch 176, Loss: 2.2448
Batch 177, Loss: 2.2006
Batch 178, Loss: 2.2424
Batch 179, Loss: 2.2094
Batch 180, Loss: 2.2154
Batch 181, Loss: 2.2269
Batch 182, Loss: 2.2398
Batch 183, Loss: 2.2263
Batch 184, Loss: 2.2213
Batch 185, Loss: 2.2272
Batch 186, Loss: 2.2282
Batch 187, Loss: 2.2401
Batch 188, Loss: 2.2292
Batch 189, Loss: 2.2102
Batch 190, Loss: 2.2140
Batch 191, Loss: 2.2108
Batch 192, Loss: 2.1852
Batch 193, Loss: 2.2112
Batch 194, Loss: 2.2452
Batch 195, Loss: 2.2102
Batch 196, Loss: 2.1963
Batch 197, Loss: 2.1864
Batch 198, Loss: 2.1809
Batch 199, Loss: 2.1935
Batch 200, Loss: 2.2262
Batch 201, Loss: 2.2240
Batch 202, Loss: 2.2221
Batch 203, Loss: 2.1845
Batch 204, Loss: 2.1833
Batch 205, Loss: 2.2085
Batch 206, Loss: 2.2192
Batch 207, Loss: 2.1808
Batch 208, Loss: 2.2098
Batch 209, Loss: 2.2170
Batch 210, Loss: 2.1662
Batch 211, Loss: 2.1904
Batch 212, Loss: 2.1420
Batch 213, Loss: 2.1405
Batch 214, Loss: 2.1629
Batch 215, Loss: 2.1602
Batch 216, Loss: 2.1568
Batch 217, Loss: 2.1796
Batch 218, Loss: 2.1662
Batch 219, Loss: 2.1639
Batch 220, Loss: 2.1701
Batch 221, Loss: 2.1332
Batch 222, Loss: 2.1273
Batch 223, Loss: 2.1214
Batch 224, Loss: 2.1651
Batch 225, Loss: 2.1752
Batch 226, Loss: 2.1601
Batch 227, Loss: 2.1663
Batch 228, Loss: 2.1696
Batch 229, Loss: 2.0956
Batch 230, Loss: 2.1565
Batch 231, Loss: 2.1678
Batch 232, Loss: 2.1238
