Epoch 1/30, Loss: 2.0717, Training Acc: 0.2190, Validation Accuracy: 0.3599Epoch 1/30, Loss: 2.1011, Training Acc: 0.2046, Validation Accuracy: 0.3500
Epoch 2/30, Loss: 1.7316, Training Acc: 0.3518, Validation Accuracy: 0.4599
Epoch 3/30, Loss: 1.6516, Training Acc: 0.3897, Validation Accuracy: 0.4193
Epoch 4/30, Loss: 1.6094, Training Acc: 0.4100, Validation Accuracy: 0.4612
Epoch 5/30, Loss: 1.5836, Training Acc: 0.4208, Validation Accuracy: 0.4726
Epoch 6/30, Loss: 1.5742, Training Acc: 0.4288, Validation Accuracy: 0.4450
Epoch 7/30, Loss: 1.5640, Training Acc: 0.4294, Validation Accuracy: 0.4670
Epoch 8/30, Loss: 1.5577, Training Acc: 0.4354, Validation Accuracy: 0.4889
Epoch 9/30, Loss: 1.5429, Training Acc: 0.4401, Validation Accuracy: 0.4798
Epoch 10/30, Loss: 1.5490, Training Acc: 0.4370, Validation Accuracy: 0.4924
Epoch 11/30, Loss: 1.5026, Training Acc: 0.4590, Validation Accuracy: 0.5231
Epoch 12/30, Loss: 1.4981, Training Acc: 0.4605, Validation Accuracy: 0.5280
Epoch 13/30, Loss: 1.4906, Training Acc: 0.4611, Validation Accuracy: 0.5220
Epoch 14/30, Loss: 1.4892, Training Acc: 0.4625, Validation Accuracy: 0.5274
Epoch 15/30, Loss: 1.4969, Training Acc: 0.4612, Validation Accuracy: 0.5308
Epoch 16/30, Loss: 1.4863, Training Acc: 0.4645, Validation Accuracy: 0.5211
Epoch 17/30, Loss: 1.4830, Training Acc: 0.4643, Validation Accuracy: 0.5389
Epoch 18/30, Loss: 1.4843, Training Acc: 0.4655, Validation Accuracy: 0.5378
Epoch 19/30, Loss: 1.4782, Training Acc: 0.4694, Validation Accuracy: 0.5263
Epoch 20/30, Loss: 1.4860, Training Acc: 0.4639, Validation Accuracy: 0.5255
Epoch 21/30, Loss: 1.4716, Training Acc: 0.4704, Validation Accuracy: 0.5427
Epoch 22/30, Loss: 1.4653, Training Acc: 0.4726, Validation Accuracy: 0.5286
Epoch 23/30, Loss: 1.4706, Training Acc: 0.4714, Validation Accuracy: 0.5443
Epoch 24/30, Loss: 1.4689, Training Acc: 0.4728, Validation Accuracy: 0.5414
Epoch 25/30, Loss: 1.4641, Training Acc: 0.4746, Validation Accuracy: 0.5475
Epoch 26/30, Loss: 1.4658, Training Acc: 0.4718, Validation Accuracy: 0.5350
Epoch 27/30, Loss: 1.4629, Training Acc: 0.4749, Validation Accuracy: 0.5421
Epoch 28/30, Loss: 1.4656, Training Acc: 0.4709, Validation Accuracy: 0.5495
Epoch 29/30, Loss: 1.4637, Training Acc: 0.4757, Validation Accuracy: 0.5455
Epoch 30/30, Loss: 1.4642, Training Acc: 0.4756, Validation Accuracy: 0.5408
