Epoch 1/30, Loss: 4.4793, Training Acc: 0.0257, Validation Accuracy: 0.0661
Epoch 2/30, Loss: 3.9223, Training Acc: 0.0848, Validation Accuracy: 0.1194
Epoch 3/30, Loss: 3.7264, Training Acc: 0.1154, Validation Accuracy: 0.1614
Epoch 4/30, Loss: 3.6270, Training Acc: 0.1322, Validation Accuracy: 0.1730
Epoch 5/30, Loss: 3.5564, Training Acc: 0.1454, Validation Accuracy: 0.1880
Epoch 6/30, Loss: 3.5066, Training Acc: 0.1554, Validation Accuracy: 0.2019
Epoch 7/30, Loss: 3.4676, Training Acc: 0.1622, Validation Accuracy: 0.2173
Epoch 8/30, Loss: 3.4338, Training Acc: 0.1681, Validation Accuracy: 0.2071
Epoch 9/30, Loss: 3.4132, Training Acc: 0.1702, Validation Accuracy: 0.2302
Epoch 10/30, Loss: 3.3839, Training Acc: 0.1776, Validation Accuracy: 0.2400
Epoch 11/30, Loss: 3.2823, Training Acc: 0.1952, Validation Accuracy: 0.2575
Epoch 12/30, Loss: 3.2627, Training Acc: 0.1985, Validation Accuracy: 0.2561
Epoch 13/30, Loss: 3.2595, Training Acc: 0.2015, Validation Accuracy: 0.2521
Epoch 14/30, Loss: 3.2449, Training Acc: 0.2019, Validation Accuracy: 0.2426
Epoch 15/30, Loss: 3.2391, Training Acc: 0.1997, Validation Accuracy: 0.2638
Epoch 16/30, Loss: 3.2343, Training Acc: 0.2048, Validation Accuracy: 0.2671
Epoch 17/30, Loss: 3.2243, Training Acc: 0.2070, Validation Accuracy: 0.2548
Epoch 18/30, Loss: 3.2197, Training Acc: 0.2085, Validation Accuracy: 0.2675
Epoch 19/30, Loss: 3.2129, Training Acc: 0.2094, Validation Accuracy: 0.2735
Epoch 20/30, Loss: 3.2114, Training Acc: 0.2084, Validation Accuracy: 0.2809
Epoch 21/30, Loss: 3.1678, Training Acc: 0.2192, Validation Accuracy: 0.2803
Epoch 22/30, Loss: 3.1650, Training Acc: 0.2181, Validation Accuracy: 0.2839
Epoch 23/30, Loss: 3.1673, Training Acc: 0.2172, Validation Accuracy: 0.2815
Epoch 24/30, Loss: 3.1597, Training Acc: 0.2194, Validation Accuracy: 0.2829
Epoch 25/30, Loss: 3.1537, Training Acc: 0.2191, Validation Accuracy: 0.2827
Epoch 26/30, Loss: 3.1561, Training Acc: 0.2190, Validation Accuracy: 0.2821
Epoch 27/30, Loss: 3.1452, Training Acc: 0.2224, Validation Accuracy: 0.2877
Epoch 28/30, Loss: 3.1495, Training Acc: 0.2206, Validation Accuracy: 0.2902
Epoch 29/30, Loss: 3.1405, Training Acc: 0.2227, Validation Accuracy: 0.2904
Epoch 30/30, Loss: 3.1495, Training Acc: 0.2219, Validation Accuracy: 0.2821
