Epoch 1/30, Loss: 2.0749, Training Acc: 0.2143, Validation Accuracy: 0.3620
Epoch 2/30, Loss: 1.7266, Training Acc: 0.3589, Validation Accuracy: 0.4540
Epoch 3/30, Loss: 1.6772, Training Acc: 0.3836, Validation Accuracy: 0.4810
Epoch 4/30, Loss: 1.6331, Training Acc: 0.4012, Validation Accuracy: 0.4487
Epoch 5/30, Loss: 1.6187, Training Acc: 0.4109, Validation Accuracy: 0.4625
Epoch 6/30, Loss: 1.6027, Training Acc: 0.4172, Validation Accuracy: 0.4811
Epoch 7/30, Loss: 1.5988, Training Acc: 0.4166, Validation Accuracy: 0.4502
Epoch 8/30, Loss: 1.5832, Training Acc: 0.4257, Validation Accuracy: 0.4787
Epoch 9/30, Loss: 1.5712, Training Acc: 0.4285, Validation Accuracy: 0.5025
Epoch 10/30, Loss: 1.5781, Training Acc: 0.4271, Validation Accuracy: 0.4838
Epoch 11/30, Loss: 1.5323, Training Acc: 0.4448, Validation Accuracy: 0.5223
Epoch 12/30, Loss: 1.5347, Training Acc: 0.4454, Validation Accuracy: 0.5144
Epoch 13/30, Loss: 1.5253, Training Acc: 0.4503, Validation Accuracy: 0.5130
Epoch 14/30, Loss: 1.5187, Training Acc: 0.4516, Validation Accuracy: 0.5219
Epoch 15/30, Loss: 1.5213, Training Acc: 0.4512, Validation Accuracy: 0.5185
Epoch 16/30, Loss: 1.5201, Training Acc: 0.4519, Validation Accuracy: 0.5305
Epoch 17/30, Loss: 1.5176, Training Acc: 0.4544, Validation Accuracy: 0.5276
Epoch 18/30, Loss: 1.5126, Training Acc: 0.4525, Validation Accuracy: 0.5392
Epoch 19/30, Loss: 1.5136, Training Acc: 0.4579, Validation Accuracy: 0.5269
Epoch 20/30, Loss: 1.5153, Training Acc: 0.4541, Validation Accuracy: 0.5319
Epoch 21/30, Loss: 1.4959, Training Acc: 0.4601, Validation Accuracy: 0.5364
Epoch 22/30, Loss: 1.5004, Training Acc: 0.4595, Validation Accuracy: 0.5406
Epoch 23/30, Loss: 1.5014, Training Acc: 0.4598, Validation Accuracy: 0.5378
Epoch 24/30, Loss: 1.5006, Training Acc: 0.4619, Validation Accuracy: 0.5427
Epoch 25/30, Loss: 1.4968, Training Acc: 0.4637, Validation Accuracy: 0.5386
Epoch 26/30, Loss: 1.4996, Training Acc: 0.4591, Validation Accuracy: 0.5370
Epoch 27/30, Loss: 1.4968, Training Acc: 0.4597, Validation Accuracy: 0.5345
Epoch 28/30, Loss: 1.4949, Training Acc: 0.4580, Validation Accuracy: 0.5365
Epoch 29/30, Loss: 1.4958, Training Acc: 0.4631, Validation Accuracy: 0.5369
Epoch 30/30, Loss: 1.4994, Training Acc: 0.4617, Validation Accuracy: 0.5371
