2023-04-01 08:19:04,580 train_batch_size: 64
2023-04-01 08:19:04,580 test_batch_size: 64
2023-04-01 08:19:04,580 lr: 5e-05
2023-04-01 08:19:04,580 num_epochs: 50
2023-04-01 08:19:04,580 max_patience: 1
2023-04-01 08:19:06,061 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-01 08:19:11,477 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-01 08:19:13,501 Train Epoch: 0
2023-04-01 08:19:16,613 Step 0 - loss: 4.602314472198486 , train acc: 0.0
2023-04-01 08:19:17,776 Step 1 - loss: 4.606822967529297 , train acc: 1.5625
2023-04-01 08:19:18,914 Step 2 - loss: 4.601949691772461 , train acc: 0.0
2023-04-01 08:19:20,056 Step 3 - loss: 4.609674453735352 , train acc: 0.0
2023-04-01 08:19:21,186 Step 4 - loss: 4.606278419494629 , train acc: 0.0
2023-04-01 08:19:22,387 Step 5 - loss: 4.60584831237793 , train acc: 1.5625
2023-04-01 08:19:23,743 Step 6 - loss: 4.609003067016602 , train acc: 1.5625
2023-04-01 08:19:24,960 Step 7 - loss: 4.605563163757324 , train acc: 0.0
2023-04-01 08:19:26,105 Step 8 - loss: 4.606344223022461 , train acc: 0.0
2023-04-01 08:19:27,211 Step 9 - loss: 4.605607509613037 , train acc: 0.0
2023-04-01 08:19:28,289 Step 10 - loss: 4.61021614074707 , train acc: 1.5625
2023-04-01 08:19:29,509 Step 11 - loss: 4.605640411376953 , train acc: 1.5625
2023-04-01 08:19:30,737 Step 12 - loss: 4.608095645904541 , train acc: 0.0
2023-04-01 08:19:31,746 Step 13 - loss: 4.602188587188721 , train acc: 0.0
2023-04-01 08:19:32,796 Step 14 - loss: 4.60797119140625 , train acc: 0.0
2023-04-01 08:19:33,904 Step 15 - loss: 4.611544609069824 , train acc: 0.0
2023-04-01 08:19:35,007 Step 16 - loss: 4.599632263183594 , train acc: 0.0
2023-04-01 08:19:36,136 Step 17 - loss: 4.605822563171387 , train acc: 0.0
2023-04-01 08:19:37,445 Step 18 - loss: 4.6095380783081055 , train acc: 0.0
2023-04-01 08:19:38,637 Step 19 - loss: 4.6074018478393555 , train acc: 1.5625
2023-04-01 08:19:39,829 Step 20 - loss: 4.601609230041504 , train acc: 0.0
2023-04-01 08:19:41,054 Step 21 - loss: 4.605027198791504 , train acc: 0.0
2023-04-01 08:19:42,303 Step 22 - loss: 4.604921817779541 , train acc: 1.5625
