2023-04-22 19:04:11,319 train_batch_size: 64
2023-04-22 19:04:11,319 test_batch_size: 64
2023-04-22 19:04:11,319 lr: 5e-05
2023-04-22 19:04:11,319 num_epochs: 50
2023-04-22 19:04:11,319 max_patience: 1
2023-04-22 19:04:12,198 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-22 19:04:18,076 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-22 19:04:20,347 Train Epoch: 0
2023-04-22 19:04:24,476 Step 0 - loss: 4.599750518798828 , train acc: 3.125
2023-04-22 19:04:25,957 Step 1 - loss: 4.600703239440918 , train acc: 0.0
2023-04-22 19:04:27,362 Step 2 - loss: 4.600955963134766 , train acc: 1.5625
2023-04-22 19:04:28,861 Step 3 - loss: 4.596013069152832 , train acc: 0.0
2023-04-22 19:04:30,173 Step 4 - loss: 4.602136611938477 , train acc: 1.5625
2023-04-22 19:04:31,454 Step 5 - loss: 4.603422164916992 , train acc: 1.5625
2023-04-22 19:04:33,029 Step 6 - loss: 4.606393814086914 , train acc: 0.0
2023-04-22 19:04:34,433 Step 7 - loss: 4.599902153015137 , train acc: 1.5625
2023-04-22 19:04:35,638 Step 8 - loss: 4.592648029327393 , train acc: 0.0
2023-04-22 19:04:37,417 Step 9 - loss: 4.601029396057129 , train acc: 1.5625
2023-04-22 19:04:39,043 Step 10 - loss: 4.591977119445801 , train acc: 3.125
2023-04-22 19:04:40,555 Step 11 - loss: 4.598006248474121 , train acc: 0.0
2023-04-22 19:04:42,406 Step 12 - loss: 4.590619087219238 , train acc: 4.6875
2023-04-22 19:04:43,800 Step 13 - loss: 4.6053667068481445 , train acc: 1.5625
2023-04-22 19:04:45,003 Step 14 - loss: 4.600274562835693 , train acc: 0.0
2023-04-22 19:04:46,429 Step 15 - loss: 4.591468334197998 , train acc: 1.5625
2023-04-22 19:04:48,211 Step 16 - loss: 4.612502098083496 , train acc: 0.0
2023-04-22 19:04:49,925 Step 17 - loss: 4.606644153594971 , train acc: 1.5625
2023-04-22 19:04:52,030 Step 18 - loss: 4.598339080810547 , train acc: 0.0
2023-04-22 19:04:53,550 Step 19 - loss: 4.602353572845459 , train acc: 0.0
2023-04-22 19:04:54,810 Step 20 - loss: 4.6014909744262695 , train acc: 1.5625
2023-04-22 19:04:56,136 Step 21 - loss: 4.602318286895752 , train acc: 1.5625
2023-04-22 19:04:57,458 Step 22 - loss: 4.605255126953125 , train acc: 3.125
2023-04-22 19:04:59,346 Step 23 - loss: 4.597461700439453 , train acc: 1.5625
2023-04-22 19:05:01,074 Step 24 - loss: 4.603402137756348 , train acc: 3.125
2023-04-22 19:05:02,629 Step 25 - loss: 4.59599494934082 , train acc: 0.0
2023-04-22 19:05:04,168 Step 26 - loss: 4.603209495544434 , train acc: 1.5625
2023-04-22 19:05:05,518 Step 27 - loss: 4.605768203735352 , train acc: 0.0
2023-04-22 19:05:07,034 Step 28 - loss: 4.603817939758301 , train acc: 0.0
2023-04-22 19:05:08,495 Step 29 - loss: 4.601746082305908 , train acc: 3.125
2023-04-22 19:05:09,828 Step 30 - loss: 4.599123954772949 , train acc: 1.5625
2023-04-22 19:05:11,509 Step 31 - loss: 4.602209091186523 , train acc: 1.5625
2023-04-22 19:05:13,239 Step 32 - loss: 4.5911970138549805 , train acc: 3.125
2023-04-22 19:05:14,580 Step 33 - loss: 4.59824275970459 , train acc: 1.5625
2023-04-22 19:05:16,253 Step 34 - loss: 4.601056098937988 , train acc: 3.125
2023-04-22 19:05:17,482 Step 35 - loss: 4.597992897033691 , train acc: 1.5625
2023-04-22 19:05:19,071 Step 36 - loss: 4.599299430847168 , train acc: 0.0
2023-04-22 19:05:20,833 Step 37 - loss: 4.597787380218506 , train acc: 3.125
2023-04-22 19:05:22,943 Step 38 - loss: 4.601119041442871 , train acc: 0.0
2023-04-22 19:05:25,046 Step 39 - loss: 4.5985260009765625 , train acc: 1.5625
2023-04-22 19:05:26,491 Step 40 - loss: 4.6046953201293945 , train acc: 0.0
2023-04-22 19:05:27,931 Step 41 - loss: 4.595691680908203 , train acc: 7.8125
2023-04-22 19:05:29,243 Step 42 - loss: 4.59229850769043 , train acc: 1.5625
2023-04-22 19:05:30,771 Step 43 - loss: 4.592610836029053 , train acc: 1.5625
2023-04-22 19:05:32,245 Step 44 - loss: 4.604077339172363 , train acc: 1.5625
2023-04-22 19:05:33,935 Step 45 - loss: 4.59639835357666 , train acc: 3.125
2023-04-22 19:05:35,341 Step 46 - loss: 4.600546836853027 , train acc: 1.5625
2023-04-22 19:05:36,605 Step 47 - loss: 4.599743843078613 , train acc: 3.125
2023-04-22 19:05:38,220 Step 48 - loss: 4.596927642822266 , train acc: 1.5625
2023-04-22 19:05:40,021 Step 49 - loss: 4.592367172241211 , train acc: 3.125
2023-04-22 19:05:41,782 Step 50 - loss: 4.598917007446289 , train acc: 0.0
2023-04-22 19:05:43,315 Step 51 - loss: 4.594827651977539 , train acc: 0.0
2023-04-22 19:05:44,673 Step 52 - loss: 4.595181941986084 , train acc: 1.5625
2023-04-22 19:05:46,139 Step 53 - loss: 4.587906837463379 , train acc: 10.9375
2023-04-22 19:05:47,833 Step 54 - loss: 4.589237213134766 , train acc: 3.125
2023-04-22 19:05:49,434 Step 55 - loss: 4.595025539398193 , train acc: 3.125
2023-04-22 19:05:51,199 Step 56 - loss: 4.593481063842773 , train acc: 1.5625
2023-04-22 19:05:52,502 Step 57 - loss: 4.590714454650879 , train acc: 3.125
2023-04-22 19:05:53,705 Step 58 - loss: 4.584629058837891 , train acc: 3.125
2023-04-22 19:05:55,293 Step 59 - loss: 4.580374240875244 , train acc: 4.6875
2023-04-22 19:05:57,139 Step 60 - loss: 4.587705135345459 , train acc: 3.125
2023-04-22 19:05:58,826 Step 61 - loss: 4.588335990905762 , train acc: 3.125
2023-04-22 19:06:00,577 Step 62 - loss: 4.583885192871094 , train acc: 3.125
2023-04-22 19:06:01,877 Step 63 - loss: 4.591899871826172 , train acc: 4.6875
2023-04-22 19:06:03,141 Step 64 - loss: 4.591536045074463 , train acc: 3.125
2023-04-22 19:06:04,838 Step 65 - loss: 4.596591949462891 , train acc: 4.6875
2023-04-22 19:06:06,309 Step 66 - loss: 4.591031551361084 , train acc: 0.0
2023-04-22 19:06:08,044 Step 67 - loss: 4.595508575439453 , train acc: 0.0
2023-04-22 19:06:09,391 Step 68 - loss: 4.59086799621582 , train acc: 1.5625
2023-04-22 19:06:10,589 Step 69 - loss: 4.577617645263672 , train acc: 6.25
2023-04-22 19:06:12,066 Step 70 - loss: 4.590656280517578 , train acc: 3.125
2023-04-22 19:06:13,898 Step 71 - loss: 4.594176769256592 , train acc: 4.6875
2023-04-22 19:06:15,646 Step 72 - loss: 4.585796356201172 , train acc: 4.6875
2023-04-22 19:06:17,652 Step 73 - loss: 4.590036392211914 , train acc: 3.125
2023-04-22 19:06:19,385 Step 74 - loss: 4.594402313232422 , train acc: 1.5625
2023-04-22 19:06:20,664 Step 75 - loss: 4.5997490882873535 , train acc: 0.0
2023-04-22 19:06:22,411 Step 76 - loss: 4.588973522186279 , train acc: 4.6875
2023-04-22 19:06:24,212 Step 77 - loss: 4.5852508544921875 , train acc: 3.125
2023-04-22 19:06:25,611 Step 78 - loss: 4.576696395874023 , train acc: 3.125
2023-04-22 19:06:26,970 Step 79 - loss: 4.5906524658203125 , train acc: 1.5625
2023-04-22 19:06:28,452 Step 80 - loss: 4.596566200256348 , train acc: 3.125
2023-04-22 19:06:29,721 Step 81 - loss: 4.583734035491943 , train acc: 4.6875
2023-04-22 19:06:31,177 Step 82 - loss: 4.599946022033691 , train acc: 6.25
2023-04-22 19:06:32,518 Step 83 - loss: 4.586953163146973 , train acc: 1.5625
2023-04-22 19:06:34,143 Step 84 - loss: 4.59824275970459 , train acc: 3.125
2023-04-22 19:06:35,475 Step 85 - loss: 4.581437110900879 , train acc: 4.6875
2023-04-22 19:06:37,023 Step 86 - loss: 4.581877708435059 , train acc: 3.125
2023-04-22 19:06:38,252 Step 87 - loss: 4.580005645751953 , train acc: 1.5625
2023-04-22 19:06:39,638 Step 88 - loss: 4.574808597564697 , train acc: 6.25
2023-04-22 19:06:41,406 Step 89 - loss: 4.580624580383301 , train acc: 6.25
2023-04-22 19:06:43,029 Step 90 - loss: 4.589691162109375 , train acc: 4.6875
2023-04-22 19:06:44,589 Step 91 - loss: 4.573511123657227 , train acc: 7.8125
2023-04-22 19:06:45,823 Step 92 - loss: 4.591268062591553 , train acc: 3.125
2023-04-22 19:06:47,406 Step 93 - loss: 4.580833435058594 , train acc: 3.125
2023-04-22 19:06:49,076 Step 94 - loss: 4.579895973205566 , train acc: 4.6875
2023-04-22 19:06:50,572 Step 95 - loss: 4.579491138458252 , train acc: 6.25
2023-04-22 19:06:52,111 Step 96 - loss: 4.584501266479492 , train acc: 1.5625
2023-04-22 19:06:53,539 Step 97 - loss: 4.577941417694092 , train acc: 0.0
2023-04-22 19:06:55,380 Step 98 - loss: 4.577705383300781 , train acc: 6.25
2023-04-22 19:06:57,005 Step 99 - loss: 4.57714319229126 , train acc: 6.25
2023-04-22 19:06:58,414 Step 100 - loss: 4.569547653198242 , train acc: 9.375
2023-04-22 19:06:59,966 Step 101 - loss: 4.577089786529541 , train acc: 4.6875
2023-04-22 19:07:01,219 Step 102 - loss: 4.578835487365723 , train acc: 3.125
2023-04-22 19:07:02,688 Step 103 - loss: 4.57970666885376 , train acc: 1.5625
2023-04-22 19:07:04,028 Step 104 - loss: 4.580939292907715 , train acc: 3.125
2023-04-22 19:07:05,618 Step 105 - loss: 4.577596187591553 , train acc: 6.25
2023-04-22 19:07:06,849 Step 106 - loss: 4.58580207824707 , train acc: 3.125
2023-04-22 19:07:08,207 Step 107 - loss: 4.569602012634277 , train acc: 6.25
2023-04-22 19:07:09,657 Step 108 - loss: 4.57968807220459 , train acc: 1.5625
2023-04-22 19:07:11,002 Step 109 - loss: 4.575732231140137 , train acc: 7.8125
2023-04-22 19:07:12,422 Step 110 - loss: 4.57908821105957 , train acc: 3.125
2023-04-22 19:07:13,805 Step 111 - loss: 4.576318264007568 , train acc: 1.5625
2023-04-22 19:07:15,187 Step 112 - loss: 4.574483871459961 , train acc: 6.25
2023-04-22 19:07:16,439 Step 113 - loss: 4.574108123779297 , train acc: 6.25
2023-04-22 19:07:18,016 Step 114 - loss: 4.574532508850098 , train acc: 3.125
2023-04-22 19:07:19,353 Step 115 - loss: 4.580552101135254 , train acc: 3.125
2023-04-22 19:07:20,798 Step 116 - loss: 4.583542823791504 , train acc: 6.25
2023-04-22 19:07:22,954 Step 117 - loss: 4.5743513107299805 , train acc: 3.125
2023-04-22 19:07:24,441 Step 118 - loss: 4.579648971557617 , train acc: 0.0
2023-04-22 19:07:25,612 Step 119 - loss: 4.579381942749023 , train acc: 1.5625
2023-04-22 19:07:27,211 Step 120 - loss: 4.566344261169434 , train acc: 0.0
2023-04-22 19:07:29,127 Step 121 - loss: 4.57450008392334 , train acc: 4.6875
2023-04-22 19:07:31,036 Step 122 - loss: 4.576753616333008 , train acc: 3.125
2023-04-22 19:07:33,550 Step 123 - loss: 4.573738098144531 , train acc: 9.375
