2023-04-12 19:24:09,408 train_batch_size: 64
2023-04-12 19:24:09,408 test_batch_size: 64
2023-04-12 19:24:09,408 lr: 5e-05
2023-04-12 19:24:09,408 num_epochs: 50
2023-04-12 19:24:09,408 max_patience: 1
2023-04-12 19:24:10,264 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-12 19:24:14,651 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-12 19:24:16,505 Train Epoch: 0
2023-04-12 19:24:19,201 Step 0 - loss: 2.3012547492980957 , train acc: 14.0625
2023-04-12 19:24:20,326 Step 1 - loss: 2.3071579933166504 , train acc: 7.8125
2023-04-12 19:24:21,340 Step 2 - loss: 2.2999672889709473 , train acc: 7.8125
2023-04-12 19:24:22,443 Step 3 - loss: 2.300992488861084 , train acc: 9.375
2023-04-12 19:24:23,633 Step 4 - loss: 2.30039381980896 , train acc: 14.0625
2023-04-12 19:24:24,774 Step 5 - loss: 2.299067974090576 , train acc: 12.5
2023-04-12 19:24:26,186 Step 6 - loss: 2.2972970008850098 , train acc: 15.625
2023-04-12 19:24:27,260 Step 7 - loss: 2.290282726287842 , train acc: 20.3125
2023-04-12 19:24:28,343 Step 8 - loss: 2.2943289279937744 , train acc: 20.3125
2023-04-12 19:24:29,539 Step 9 - loss: 2.2964558601379395 , train acc: 21.875
2023-04-12 19:24:30,599 Step 10 - loss: 2.2923707962036133 , train acc: 20.3125
2023-04-12 19:24:31,664 Step 11 - loss: 2.292886257171631 , train acc: 17.1875
2023-04-12 19:24:32,744 Step 12 - loss: 2.2948904037475586 , train acc: 12.5
2023-04-12 19:24:33,924 Step 13 - loss: 2.29616379737854 , train acc: 15.625
2023-04-12 19:24:34,978 Step 14 - loss: 2.2883782386779785 , train acc: 15.625
2023-04-12 19:24:35,995 Step 15 - loss: 2.274763822555542 , train acc: 35.9375
2023-04-12 19:24:37,078 Step 16 - loss: 2.283555507659912 , train acc: 20.3125
2023-04-12 19:24:38,132 Step 17 - loss: 2.293764591217041 , train acc: 21.875
2023-04-12 19:24:39,183 Step 18 - loss: 2.285304307937622 , train acc: 23.4375
2023-04-12 19:24:40,636 Step 19 - loss: 2.286468982696533 , train acc: 18.75
2023-04-12 19:24:41,695 Step 20 - loss: 2.2824225425720215 , train acc: 25.0
2023-04-12 19:24:42,749 Step 21 - loss: 2.2856287956237793 , train acc: 21.875
2023-04-12 19:24:44,078 Step 22 - loss: 2.2784578800201416 , train acc: 31.25
2023-04-12 19:24:45,200 Step 23 - loss: 2.2730894088745117 , train acc: 32.8125
2023-04-12 19:24:46,622 Step 24 - loss: 2.2738194465637207 , train acc: 34.375
2023-04-12 19:24:47,661 Step 25 - loss: 2.2768869400024414 , train acc: 25.0
2023-04-12 19:24:48,739 Step 26 - loss: 2.267712116241455 , train acc: 31.25
2023-04-12 19:24:49,999 Step 27 - loss: 2.2744226455688477 , train acc: 35.9375
2023-04-12 19:24:51,080 Step 28 - loss: 2.2721099853515625 , train acc: 25.0
2023-04-12 19:24:52,145 Step 29 - loss: 2.2708683013916016 , train acc: 31.25
2023-04-12 19:24:53,180 Step 30 - loss: 2.2707695960998535 , train acc: 28.125
2023-04-12 19:24:54,270 Step 31 - loss: 2.2628049850463867 , train acc: 40.625
2023-04-12 19:24:55,346 Step 32 - loss: 2.268568515777588 , train acc: 34.375
2023-04-12 19:24:56,412 Step 33 - loss: 2.2690467834472656 , train acc: 35.9375
2023-04-12 19:24:57,482 Step 34 - loss: 2.261993646621704 , train acc: 35.9375
2023-04-12 19:24:58,557 Step 35 - loss: 2.258929967880249 , train acc: 46.875
2023-04-12 19:24:59,633 Step 36 - loss: 2.2648844718933105 , train acc: 35.9375
2023-04-12 19:25:00,701 Step 37 - loss: 2.260075092315674 , train acc: 43.75
2023-04-12 19:25:01,795 Step 38 - loss: 2.2660937309265137 , train acc: 37.5
2023-04-12 19:25:02,880 Step 39 - loss: 2.257399082183838 , train acc: 37.5
2023-04-12 19:25:03,972 Step 40 - loss: 2.2478721141815186 , train acc: 40.625
2023-04-12 19:25:05,165 Step 41 - loss: 2.2627155780792236 , train acc: 28.125
2023-04-12 19:25:06,262 Step 42 - loss: 2.2523183822631836 , train acc: 39.0625
2023-04-12 19:25:07,331 Step 43 - loss: 2.2546324729919434 , train acc: 35.9375
2023-04-12 19:25:08,390 Step 44 - loss: 2.245819568634033 , train acc: 51.5625
2023-04-12 19:25:09,423 Step 45 - loss: 2.257272720336914 , train acc: 39.0625
2023-04-12 19:25:10,481 Step 46 - loss: 2.245123863220215 , train acc: 39.0625
2023-04-12 19:25:11,474 Step 47 - loss: 2.2557942867279053 , train acc: 34.375
2023-04-12 19:25:12,498 Step 48 - loss: 2.2503745555877686 , train acc: 40.625
2023-04-12 19:25:13,523 Step 49 - loss: 2.24723219871521 , train acc: 48.4375
2023-04-12 19:25:14,540 Step 50 - loss: 2.23714542388916 , train acc: 45.3125
2023-04-12 19:25:15,588 Step 51 - loss: 2.247154474258423 , train acc: 39.0625
2023-04-12 19:25:16,638 Step 52 - loss: 2.2425177097320557 , train acc: 42.1875
2023-04-12 19:25:17,686 Step 53 - loss: 2.2478694915771484 , train acc: 37.5
2023-04-12 19:25:18,758 Step 54 - loss: 2.227311611175537 , train acc: 54.6875
2023-04-12 19:25:19,824 Step 55 - loss: 2.248758554458618 , train acc: 48.4375
2023-04-12 19:25:20,934 Step 56 - loss: 2.240565299987793 , train acc: 45.3125
2023-04-12 19:25:22,011 Step 57 - loss: 2.244574785232544 , train acc: 50.0
2023-04-12 19:25:23,214 Step 58 - loss: 2.2340850830078125 , train acc: 54.6875
2023-04-12 19:25:24,456 Step 59 - loss: 2.2308499813079834 , train acc: 45.3125
2023-04-12 19:25:25,743 Step 60 - loss: 2.234726667404175 , train acc: 48.4375
2023-04-12 19:25:26,850 Step 61 - loss: 2.229304313659668 , train acc: 50.0
2023-04-12 19:25:27,915 Step 62 - loss: 2.242940902709961 , train acc: 48.4375
2023-04-12 19:25:28,985 Step 63 - loss: 2.228275775909424 , train acc: 57.8125
2023-04-12 19:25:29,972 Step 64 - loss: 2.2298696041107178 , train acc: 48.4375
2023-04-12 19:25:30,961 Step 65 - loss: 2.21521258354187 , train acc: 57.8125
2023-04-12 19:25:31,946 Step 66 - loss: 2.2321648597717285 , train acc: 48.4375
2023-04-12 19:25:33,009 Step 67 - loss: 2.2149853706359863 , train acc: 53.125
2023-04-12 19:25:34,074 Step 68 - loss: 2.2293248176574707 , train acc: 45.3125
2023-04-12 19:25:35,081 Step 69 - loss: 2.217918872833252 , train acc: 56.25
2023-04-12 19:25:36,167 Step 70 - loss: 2.224858283996582 , train acc: 46.875
2023-04-12 19:25:37,205 Step 71 - loss: 2.2107434272766113 , train acc: 53.125
2023-04-12 19:25:38,219 Step 72 - loss: 2.2342453002929688 , train acc: 40.625
2023-04-12 19:25:39,218 Step 73 - loss: 2.2228076457977295 , train acc: 48.4375
2023-04-12 19:25:40,233 Step 74 - loss: 2.2024946212768555 , train acc: 67.1875
2023-04-12 19:25:41,252 Step 75 - loss: 2.207859516143799 , train acc: 57.8125
2023-04-12 19:25:42,299 Step 76 - loss: 2.232111692428589 , train acc: 42.1875
2023-04-12 19:25:43,378 Step 77 - loss: 2.2098398208618164 , train acc: 53.125
2023-04-12 19:25:44,435 Step 78 - loss: 2.2176332473754883 , train acc: 42.1875
2023-04-12 19:25:45,497 Step 79 - loss: 2.2189712524414062 , train acc: 50.0
2023-04-12 19:25:46,609 Step 80 - loss: 2.2083024978637695 , train acc: 57.8125
2023-04-12 19:25:47,773 Step 81 - loss: 2.2005271911621094 , train acc: 56.25
2023-04-12 19:25:48,834 Step 82 - loss: 2.205104351043701 , train acc: 59.375
2023-04-12 19:25:49,892 Step 83 - loss: 2.2025718688964844 , train acc: 57.8125
