2023-03-31 18:51:01,225 train_batch_size: 64
2023-03-31 18:51:01,225 test_batch_size: 64
2023-03-31 18:51:01,225 lr: 5e-05
2023-03-31 18:51:01,225 num_epochs: 50
2023-03-31 18:51:01,225 max_patience: 1
2023-03-31 18:51:02,689 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-03-31 18:51:07,363 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-03-31 18:51:09,117 Train Epoch: 0
2023-03-31 18:51:11,661 Step 0 - loss: 2.3012664318084717 , train acc: 10.9375
2023-03-31 18:51:12,701 Step 1 - loss: 2.304673910140991 , train acc: 10.9375
2023-03-31 18:51:13,696 Step 2 - loss: 2.3006796836853027 , train acc: 9.375
2023-03-31 18:51:14,632 Step 3 - loss: 2.299612522125244 , train acc: 12.5
2023-03-31 18:51:15,583 Step 4 - loss: 2.3011999130249023 , train acc: 10.9375
2023-03-31 18:51:16,526 Step 5 - loss: 2.299483299255371 , train acc: 6.25
2023-03-31 18:51:17,464 Step 6 - loss: 2.3004612922668457 , train acc: 12.5
2023-03-31 18:51:18,401 Step 7 - loss: 2.301468849182129 , train acc: 10.9375
2023-03-31 18:51:19,343 Step 8 - loss: 2.3071141242980957 , train acc: 4.6875
2023-03-31 18:51:20,275 Step 9 - loss: 2.3006722927093506 , train acc: 10.9375
2023-03-31 18:51:21,188 Step 10 - loss: 2.2965545654296875 , train acc: 15.625
2023-03-31 18:51:22,114 Step 11 - loss: 2.305996894836426 , train acc: 10.9375
2023-03-31 18:51:23,065 Step 12 - loss: 2.303971529006958 , train acc: 7.8125
2023-03-31 18:51:23,989 Step 13 - loss: 2.300243854522705 , train acc: 12.5
2023-03-31 18:51:24,905 Step 14 - loss: 2.294367551803589 , train acc: 21.875
2023-03-31 18:51:25,825 Step 15 - loss: 2.2962288856506348 , train acc: 9.375
2023-03-31 18:51:26,743 Step 16 - loss: 2.298208475112915 , train acc: 10.9375
2023-03-31 18:51:27,655 Step 17 - loss: 2.3033459186553955 , train acc: 1.5625
2023-03-31 18:51:28,574 Step 18 - loss: 2.2977263927459717 , train acc: 14.0625
2023-03-31 18:51:29,546 Step 19 - loss: 2.2989914417266846 , train acc: 9.375
2023-03-31 18:51:30,516 Step 20 - loss: 2.289325475692749 , train acc: 15.625
2023-03-31 18:51:31,436 Step 21 - loss: 2.2863364219665527 , train acc: 23.4375
2023-03-31 18:51:32,362 Step 22 - loss: 2.2940313816070557 , train acc: 15.625
2023-03-31 18:51:33,295 Step 23 - loss: 2.295346260070801 , train acc: 14.0625
2023-03-31 18:51:34,217 Step 24 - loss: 2.297095775604248 , train acc: 10.9375
2023-03-31 18:51:35,171 Step 25 - loss: 2.2965335845947266 , train acc: 10.9375
2023-03-31 18:51:36,111 Step 26 - loss: 2.284679412841797 , train acc: 21.875
2023-03-31 18:51:37,021 Step 27 - loss: 2.2926855087280273 , train acc: 10.9375
2023-03-31 18:51:37,967 Step 28 - loss: 2.290966510772705 , train acc: 10.9375
2023-03-31 18:51:38,892 Step 29 - loss: 2.2916369438171387 , train acc: 15.625
2023-03-31 18:51:39,811 Step 30 - loss: 2.2843875885009766 , train acc: 20.3125
2023-03-31 18:51:40,743 Step 31 - loss: 2.292222023010254 , train acc: 12.5
2023-03-31 18:51:41,707 Step 32 - loss: 2.2848446369171143 , train acc: 23.4375
2023-03-31 18:51:42,656 Step 33 - loss: 2.288158893585205 , train acc: 17.1875
2023-03-31 18:51:43,587 Step 34 - loss: 2.2823829650878906 , train acc: 20.3125
2023-03-31 18:51:44,498 Step 35 - loss: 2.2851078510284424 , train acc: 23.4375
2023-03-31 18:51:45,477 Step 36 - loss: 2.2867746353149414 , train acc: 14.0625
2023-03-31 18:51:46,382 Step 37 - loss: 2.2881112098693848 , train acc: 14.0625
2023-03-31 18:51:47,363 Step 38 - loss: 2.2866339683532715 , train acc: 17.1875
2023-03-31 18:51:48,279 Step 39 - loss: 2.2943105697631836 , train acc: 12.5
2023-03-31 18:51:49,209 Step 40 - loss: 2.287060260772705 , train acc: 20.3125
2023-03-31 18:51:50,145 Step 41 - loss: 2.280672788619995 , train acc: 21.875
2023-03-31 18:51:51,081 Step 42 - loss: 2.2861547470092773 , train acc: 15.625
2023-03-31 18:51:52,008 Step 43 - loss: 2.283102512359619 , train acc: 23.4375
2023-03-31 18:51:52,927 Step 44 - loss: 2.279385566711426 , train acc: 25.0
2023-03-31 18:51:53,847 Step 45 - loss: 2.2833142280578613 , train acc: 18.75
2023-03-31 18:51:54,816 Step 46 - loss: 2.2856757640838623 , train acc: 12.5
2023-03-31 18:51:55,786 Step 47 - loss: 2.2819876670837402 , train acc: 21.875
2023-03-31 18:51:56,754 Step 48 - loss: 2.28086256980896 , train acc: 20.3125
2023-03-31 18:51:57,678 Step 49 - loss: 2.290574789047241 , train acc: 12.5
2023-03-31 18:51:58,612 Step 50 - loss: 2.2818031311035156 , train acc: 20.3125
2023-03-31 18:51:59,557 Step 51 - loss: 2.282561779022217 , train acc: 17.1875
2023-03-31 18:52:00,476 Step 52 - loss: 2.2837748527526855 , train acc: 15.625
2023-03-31 18:52:01,442 Step 53 - loss: 2.2746524810791016 , train acc: 32.8125
2023-03-31 18:52:02,445 Step 54 - loss: 2.278837203979492 , train acc: 28.125
2023-03-31 18:52:03,384 Step 55 - loss: 2.2816593647003174 , train acc: 21.875
2023-03-31 18:52:04,309 Step 56 - loss: 2.277210235595703 , train acc: 26.5625
2023-03-31 18:52:05,273 Step 57 - loss: 2.2827534675598145 , train acc: 21.875
2023-03-31 18:52:06,199 Step 58 - loss: 2.277317762374878 , train acc: 20.3125
2023-03-31 18:52:07,148 Step 59 - loss: 2.2765913009643555 , train acc: 20.3125
2023-03-31 18:52:08,061 Step 60 - loss: 2.2794275283813477 , train acc: 25.0
2023-03-31 18:52:09,054 Step 61 - loss: 2.280601978302002 , train acc: 20.3125
2023-03-31 18:52:09,984 Step 62 - loss: 2.2782583236694336 , train acc: 23.4375
2023-03-31 18:52:10,913 Step 63 - loss: 2.2800381183624268 , train acc: 20.3125
2023-03-31 18:52:11,847 Step 64 - loss: 2.2827954292297363 , train acc: 20.3125
2023-03-31 18:52:12,793 Step 65 - loss: 2.2755355834960938 , train acc: 25.0
2023-03-31 18:52:13,715 Step 66 - loss: 2.273876428604126 , train acc: 29.6875
2023-03-31 18:52:14,745 Step 67 - loss: 2.2759130001068115 , train acc: 21.875
2023-03-31 18:52:15,672 Step 68 - loss: 2.2775745391845703 , train acc: 20.3125
2023-03-31 18:52:16,609 Step 69 - loss: 2.2716565132141113 , train acc: 28.125
2023-03-31 18:52:17,532 Step 70 - loss: 2.274068832397461 , train acc: 17.1875
2023-03-31 18:52:18,463 Step 71 - loss: 2.2743563652038574 , train acc: 23.4375
2023-03-31 18:52:19,386 Step 72 - loss: 2.274538993835449 , train acc: 18.75
2023-03-31 18:52:20,315 Step 73 - loss: 2.2747459411621094 , train acc: 31.25
2023-03-31 18:52:21,239 Step 74 - loss: 2.2771058082580566 , train acc: 20.3125
2023-03-31 18:52:22,231 Step 75 - loss: 2.2733283042907715 , train acc: 26.5625
2023-03-31 18:52:23,246 Step 76 - loss: 2.268003225326538 , train acc: 39.0625
2023-03-31 18:52:24,195 Step 77 - loss: 2.261317014694214 , train acc: 40.625
2023-03-31 18:52:25,121 Step 78 - loss: 2.2658140659332275 , train acc: 40.625
2023-03-31 18:52:26,080 Step 79 - loss: 2.2672362327575684 , train acc: 45.3125
2023-03-31 18:52:26,996 Step 80 - loss: 2.2646946907043457 , train acc: 31.25
2023-03-31 18:52:27,953 Step 81 - loss: 2.269585371017456 , train acc: 35.9375
2023-03-31 18:52:28,859 Step 82 - loss: 2.2667322158813477 , train acc: 43.75
2023-03-31 18:52:29,782 Step 83 - loss: 2.2697715759277344 , train acc: 29.6875
2023-03-31 18:52:30,713 Step 84 - loss: 2.267155170440674 , train acc: 37.5
2023-03-31 18:52:31,624 Step 85 - loss: 2.2667393684387207 , train acc: 37.5
