2023-04-22 18:53:13,661 train_batch_size: 64
2023-04-22 18:53:13,661 test_batch_size: 64
2023-04-22 18:53:13,661 lr: 5e-05
2023-04-22 18:53:13,661 num_epochs: 50
2023-04-22 18:53:13,661 max_patience: 1
2023-04-22 18:53:14,411 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-22 18:53:18,728 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-22 18:53:20,690 Train Epoch: 0
2023-04-22 18:53:23,431 Step 0 - loss: 2.304751396179199 , train acc: 9.375
2023-04-22 18:53:24,486 Step 1 - loss: 2.3000857830047607 , train acc: 14.0625
2023-04-22 18:53:25,447 Step 2 - loss: 2.3004822731018066 , train acc: 15.625
2023-04-22 18:53:26,423 Step 3 - loss: 2.291693687438965 , train acc: 15.625
2023-04-22 18:53:27,523 Step 4 - loss: 2.2916316986083984 , train acc: 17.1875
2023-04-22 18:53:28,613 Step 5 - loss: 2.303926944732666 , train acc: 12.5
2023-04-22 18:53:29,680 Step 6 - loss: 2.3028504848480225 , train acc: 9.375
2023-04-22 18:53:30,768 Step 7 - loss: 2.288601875305176 , train acc: 18.75
2023-04-22 18:53:31,790 Step 8 - loss: 2.2930614948272705 , train acc: 17.1875
2023-04-22 18:53:32,821 Step 9 - loss: 2.288203239440918 , train acc: 20.3125
2023-04-22 18:53:33,916 Step 10 - loss: 2.2898337841033936 , train acc: 20.3125
2023-04-22 18:53:34,959 Step 11 - loss: 2.290034532546997 , train acc: 17.1875
2023-04-22 18:53:35,996 Step 12 - loss: 2.2822060585021973 , train acc: 23.4375
2023-04-22 18:53:37,058 Step 13 - loss: 2.2834744453430176 , train acc: 23.4375
2023-04-22 18:53:38,025 Step 14 - loss: 2.29103684425354 , train acc: 20.3125
2023-04-22 18:53:39,084 Step 15 - loss: 2.28536319732666 , train acc: 21.875
2023-04-22 18:53:40,122 Step 16 - loss: 2.2906241416931152 , train acc: 18.75
2023-04-22 18:53:41,139 Step 17 - loss: 2.2802796363830566 , train acc: 26.5625
2023-04-22 18:53:42,130 Step 18 - loss: 2.285215139389038 , train acc: 18.75
2023-04-22 18:53:43,108 Step 19 - loss: 2.286343574523926 , train acc: 21.875
2023-04-22 18:53:44,119 Step 20 - loss: 2.27662992477417 , train acc: 21.875
2023-04-22 18:53:45,147 Step 21 - loss: 2.2751619815826416 , train acc: 28.125
2023-04-22 18:53:46,211 Step 22 - loss: 2.282865285873413 , train acc: 25.0
2023-04-22 18:53:47,296 Step 23 - loss: 2.281155824661255 , train acc: 29.6875
2023-04-22 18:53:48,405 Step 24 - loss: 2.2812376022338867 , train acc: 25.0
2023-04-22 18:53:49,397 Step 25 - loss: 2.277348041534424 , train acc: 21.875
2023-04-22 18:53:50,470 Step 26 - loss: 2.274336814880371 , train acc: 28.125
2023-04-22 18:53:51,552 Step 27 - loss: 2.282444953918457 , train acc: 20.3125
2023-04-22 18:53:52,660 Step 28 - loss: 2.280764579772949 , train acc: 28.125
2023-04-22 18:53:53,782 Step 29 - loss: 2.2764244079589844 , train acc: 28.125
2023-04-22 18:53:54,759 Step 30 - loss: 2.277968406677246 , train acc: 20.3125
2023-04-22 18:53:55,735 Step 31 - loss: 2.267080307006836 , train acc: 32.8125
2023-04-22 18:53:56,793 Step 32 - loss: 2.2704663276672363 , train acc: 39.0625
2023-04-22 18:53:57,879 Step 33 - loss: 2.2785634994506836 , train acc: 21.875
2023-04-22 18:53:58,998 Step 34 - loss: 2.2723617553710938 , train acc: 26.5625
