2023-04-12 04:52:46,248 train_batch_size: 512
2023-04-12 04:52:46,248 test_batch_size: 512
2023-04-12 04:52:46,248 lr: 5e-05
2023-04-12 04:52:46,248 num_epochs: 50
2023-04-12 04:52:46,248 max_patience: 1
2023-04-12 04:52:47,098 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-04-12 04:52:51,092 Train Epoch: 0
2023-04-12 04:52:59,716 Step 0 - loss: 71.58869171142578 , train acc: 0.5859375
2023-04-12 04:53:05,783 Step 1 - loss: 66.84745788574219 , train acc: 0.78125
2023-04-12 04:53:12,382 Step 2 - loss: 62.427120208740234 , train acc: 1.5625
2023-04-12 04:53:18,460 Step 3 - loss: 58.50315856933594 , train acc: 1.3671875
2023-04-12 04:53:24,819 Step 4 - loss: 54.54887771606445 , train acc: 0.5859375
2023-04-12 04:53:31,168 Step 5 - loss: 51.0385627746582 , train acc: 1.3671875
2023-04-12 04:53:37,665 Step 6 - loss: 47.565303802490234 , train acc: 1.3671875
2023-04-12 04:53:44,072 Step 7 - loss: 44.53711700439453 , train acc: 1.3671875
2023-04-12 04:53:50,511 Step 8 - loss: 41.65021896362305 , train acc: 0.9765625
2023-04-12 04:53:56,940 Step 9 - loss: 38.7808723449707 , train acc: 0.5859375
2023-04-12 04:54:03,423 Step 10 - loss: 36.56503677368164 , train acc: 0.390625
2023-04-12 04:54:09,753 Step 11 - loss: 34.0319709777832 , train acc: 0.390625
2023-04-12 04:54:15,959 Step 12 - loss: 31.792604446411133 , train acc: 0.390625
2023-04-12 04:54:22,486 Step 13 - loss: 30.13201332092285 , train acc: 0.390625
2023-04-12 04:54:28,850 Step 14 - loss: 28.413650512695312 , train acc: 0.390625
2023-04-12 04:54:35,157 Step 15 - loss: 26.547882080078125 , train acc: 0.390625
2023-04-12 04:54:41,534 Step 16 - loss: 25.062358856201172 , train acc: 0.1953125
2023-04-12 04:54:48,013 Step 17 - loss: 23.844715118408203 , train acc: 0.390625
2023-04-12 04:54:54,640 Step 18 - loss: 22.800247192382812 , train acc: 0.5859375
2023-04-12 04:55:01,124 Step 19 - loss: 21.308021545410156 , train acc: 0.5859375
2023-04-12 04:55:07,577 Step 20 - loss: 20.536548614501953 , train acc: 0.5859375
2023-04-12 04:55:13,985 Step 21 - loss: 19.478078842163086 , train acc: 0.9765625
2023-04-12 04:55:20,613 Step 22 - loss: 18.654857635498047 , train acc: 0.78125
2023-04-12 04:55:27,031 Step 23 - loss: 17.789615631103516 , train acc: 0.78125
2023-04-12 04:55:33,497 Step 24 - loss: 16.780441284179688 , train acc: 0.5859375
2023-04-12 04:55:39,914 Step 25 - loss: 16.3070068359375 , train acc: 1.171875
2023-04-12 04:55:46,265 Step 26 - loss: 15.73835563659668 , train acc: 0.78125
2023-04-12 04:55:52,956 Step 27 - loss: 14.93239688873291 , train acc: 1.171875
2023-04-12 04:55:59,192 Step 28 - loss: 14.580708503723145 , train acc: 0.390625
2023-04-12 04:56:05,629 Step 29 - loss: 14.048276901245117 , train acc: 1.171875
2023-04-12 04:56:12,177 Step 30 - loss: 13.411789894104004 , train acc: 1.953125
2023-04-12 04:56:18,594 Step 31 - loss: 13.234928131103516 , train acc: 1.953125
2023-04-12 04:56:25,021 Step 32 - loss: 12.746451377868652 , train acc: 1.171875
2023-04-12 04:56:31,273 Step 33 - loss: 12.412951469421387 , train acc: 0.5859375
2023-04-12 04:56:37,574 Step 34 - loss: 12.223787307739258 , train acc: 0.9765625
2023-04-12 04:56:43,951 Step 35 - loss: 11.731254577636719 , train acc: 0.78125
2023-04-12 04:56:49,934 Step 36 - loss: 11.428974151611328 , train acc: 0.5859375
2023-04-12 04:56:56,283 Step 37 - loss: 11.086596488952637 , train acc: 0.5859375
2023-04-12 04:57:02,721 Step 38 - loss: 10.812997817993164 , train acc: 1.5625
2023-04-12 04:57:09,210 Step 39 - loss: 10.401495933532715 , train acc: 1.3671875
2023-04-12 04:57:15,676 Step 40 - loss: 10.34396743774414 , train acc: 1.171875
2023-04-12 04:57:21,982 Step 41 - loss: 10.125359535217285 , train acc: 0.9765625
2023-04-12 04:57:28,392 Step 42 - loss: 9.86070442199707 , train acc: 1.5625
