2023-03-28 05:53:43,296 train_batch_size: 512
2023-03-28 05:53:43,296 test_batch_size: 512
2023-03-28 05:53:43,296 lr: 5e-05
2023-03-28 05:53:43,296 num_epochs: 50
2023-03-28 05:53:43,296 max_patience: 1
2023-03-28 05:53:44,782 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-03-28 05:53:49,148 Train Epoch: 0
2023-03-28 05:53:56,023 Step 0 - loss: 74.95921325683594 , train acc: 0.9765625
2023-03-28 05:54:01,352 Step 1 - loss: 69.74174499511719 , train acc: 0.9765625
2023-03-28 05:54:06,486 Step 2 - loss: 64.91226196289062 , train acc: 1.171875
2023-03-28 05:54:11,590 Step 3 - loss: 60.38346862792969 , train acc: 1.3671875
2023-03-28 05:54:16,720 Step 4 - loss: 56.13591766357422 , train acc: 0.9765625
2023-03-28 05:54:21,855 Step 5 - loss: 52.215110778808594 , train acc: 1.171875
2023-03-28 05:54:27,202 Step 6 - loss: 48.53694534301758 , train acc: 1.953125
2023-03-28 05:54:32,306 Step 7 - loss: 45.18754577636719 , train acc: 1.3671875
2023-03-28 05:54:37,450 Step 8 - loss: 42.09186553955078 , train acc: 1.171875
2023-03-28 05:54:42,713 Step 9 - loss: 39.28919982910156 , train acc: 1.3671875
2023-03-28 05:54:47,811 Step 10 - loss: 36.58561706542969 , train acc: 1.171875
2023-03-28 05:54:52,988 Step 11 - loss: 34.194515228271484 , train acc: 1.171875
2023-03-28 05:54:58,089 Step 12 - loss: 32.015113830566406 , train acc: 0.78125
2023-03-28 05:55:03,188 Step 13 - loss: 29.904064178466797 , train acc: 1.171875
2023-03-28 05:55:08,391 Step 14 - loss: 28.09859848022461 , train acc: 0.9765625
2023-03-28 05:55:13,581 Step 15 - loss: 26.420969009399414 , train acc: 0.5859375
2023-03-28 05:55:18,788 Step 16 - loss: 24.81145477294922 , train acc: 0.78125
2023-03-28 05:55:23,945 Step 17 - loss: 23.492671966552734 , train acc: 1.5625
2023-03-28 05:55:29,016 Step 18 - loss: 22.05487060546875 , train acc: 0.78125
2023-03-28 05:55:34,094 Step 19 - loss: 20.95289421081543 , train acc: 0.1953125
2023-03-28 05:55:39,157 Step 20 - loss: 19.824321746826172 , train acc: 1.171875
2023-03-28 05:55:44,236 Step 21 - loss: 18.89737319946289 , train acc: 0.78125
2023-03-28 05:55:49,399 Step 22 - loss: 17.978443145751953 , train acc: 0.1953125
2023-03-28 05:55:54,468 Step 23 - loss: 17.146791458129883 , train acc: 0.78125
2023-03-28 05:55:59,634 Step 24 - loss: 16.418006896972656 , train acc: 0.5859375
2023-03-28 05:56:04,726 Step 25 - loss: 15.77173900604248 , train acc: 1.3671875
2023-03-28 05:56:09,809 Step 26 - loss: 15.114472389221191 , train acc: 0.1953125
2023-03-28 05:56:14,964 Step 27 - loss: 14.557806968688965 , train acc: 0.78125
2023-03-28 05:56:20,048 Step 28 - loss: 14.031070709228516 , train acc: 0.5859375
2023-03-28 05:56:25,086 Step 29 - loss: 13.574433326721191 , train acc: 0.9765625
2023-03-28 05:56:30,192 Step 30 - loss: 13.062880516052246 , train acc: 0.78125
2023-03-28 05:56:35,289 Step 31 - loss: 12.650585174560547 , train acc: 1.171875
2023-03-28 05:56:40,563 Step 32 - loss: 12.264139175415039 , train acc: 1.3671875
2023-03-28 05:56:45,741 Step 33 - loss: 11.948553085327148 , train acc: 0.9765625
2023-03-28 05:56:50,921 Step 34 - loss: 11.650400161743164 , train acc: 0.1953125
2023-03-28 05:56:56,185 Step 35 - loss: 11.309489250183105 , train acc: 1.171875
2023-03-28 05:57:01,495 Step 36 - loss: 11.029865264892578 , train acc: 1.171875
2023-03-28 05:57:06,762 Step 37 - loss: 10.755767822265625 , train acc: 0.9765625
2023-03-28 05:57:12,005 Step 38 - loss: 10.545780181884766 , train acc: 1.5625
2023-03-28 05:57:17,230 Step 39 - loss: 10.311698913574219 , train acc: 0.78125
2023-03-28 05:57:22,631 Step 40 - loss: 10.19266414642334 , train acc: 0.9765625
2023-03-28 05:57:27,957 Step 41 - loss: 9.906436920166016 , train acc: 1.171875
2023-03-28 05:57:33,164 Step 42 - loss: 9.729914665222168 , train acc: 1.3671875
2023-03-28 05:57:38,391 Step 43 - loss: 9.494319915771484 , train acc: 0.9765625
2023-03-28 05:57:43,484 Step 44 - loss: 9.315147399902344 , train acc: 0.9765625
2023-03-28 05:57:48,920 Step 45 - loss: 9.181528091430664 , train acc: 0.78125
2023-03-28 05:57:54,016 Step 46 - loss: 9.034221649169922 , train acc: 1.171875
2023-03-28 05:57:59,084 Step 47 - loss: 8.891862869262695 , train acc: 0.78125
2023-03-28 05:58:04,211 Step 48 - loss: 8.736644744873047 , train acc: 1.3671875
2023-03-28 05:58:09,222 Step 49 - loss: 8.630133628845215 , train acc: 0.5859375
2023-03-28 05:58:14,885 Step 50 - loss: 8.488469123840332 , train acc: 0.78125
2023-03-28 05:58:20,009 Step 51 - loss: 8.443611145019531 , train acc: 1.171875
2023-03-28 05:58:25,090 Step 52 - loss: 8.295877456665039 , train acc: 0.1953125
2023-03-28 05:58:30,435 Step 53 - loss: 8.187211990356445 , train acc: 0.9765625
2023-03-28 05:58:35,545 Step 54 - loss: 8.097822189331055 , train acc: 1.3671875
2023-03-28 05:58:41,077 Step 55 - loss: 7.9825849533081055 , train acc: 1.171875
2023-03-28 05:58:46,306 Step 56 - loss: 7.900240898132324 , train acc: 0.5859375
2023-03-28 05:58:51,396 Step 57 - loss: 7.794745922088623 , train acc: 0.9765625
2023-03-28 05:58:56,817 Step 58 - loss: 7.777411460876465 , train acc: 0.9765625
2023-03-28 05:59:02,058 Step 59 - loss: 7.638518333435059 , train acc: 0.78125
2023-03-28 05:59:07,134 Step 60 - loss: 7.566579341888428 , train acc: 0.390625
2023-03-28 05:59:12,219 Step 61 - loss: 7.515762805938721 , train acc: 1.3671875
2023-03-28 05:59:17,318 Step 62 - loss: 7.428085803985596 , train acc: 1.5625
2023-03-28 05:59:22,567 Step 63 - loss: 7.4304962158203125 , train acc: 1.5625
2023-03-28 05:59:27,865 Step 64 - loss: 7.30297327041626 , train acc: 1.171875
2023-03-28 05:59:33,093 Step 65 - loss: 7.253670692443848 , train acc: 0.5859375
2023-03-28 05:59:38,172 Step 66 - loss: 7.208858489990234 , train acc: 0.5859375
2023-03-28 05:59:43,845 Step 67 - loss: 7.1258416175842285 , train acc: 1.171875
2023-03-28 05:59:49,074 Step 68 - loss: 7.085143566131592 , train acc: 1.5625
2023-03-28 05:59:54,309 Step 69 - loss: 7.052155017852783 , train acc: 1.3671875
2023-03-28 05:59:59,415 Step 70 - loss: 6.988069534301758 , train acc: 1.7578125
2023-03-28 06:00:04,567 Step 71 - loss: 6.944308280944824 , train acc: 2.5390625
2023-03-28 06:00:09,740 Step 72 - loss: 6.898452281951904 , train acc: 1.3671875
2023-03-28 06:00:14,996 Step 73 - loss: 6.914620876312256 , train acc: 0.1953125
2023-03-28 06:00:20,350 Step 74 - loss: 6.823242664337158 , train acc: 0.9765625
2023-03-28 06:00:25,680 Step 75 - loss: 6.788179874420166 , train acc: 0.5859375
2023-03-28 06:00:31,020 Step 76 - loss: 6.725907325744629 , train acc: 0.78125
2023-03-28 06:00:36,143 Step 77 - loss: 6.702408790588379 , train acc: 1.7578125
2023-03-28 06:00:41,342 Step 78 - loss: 6.676531791687012 , train acc: 1.3671875
2023-03-28 06:00:46,689 Step 79 - loss: 6.627250671386719 , train acc: 0.9765625
2023-03-28 06:00:51,819 Step 80 - loss: 6.579519748687744 , train acc: 2.5390625
2023-03-28 06:00:56,961 Step 81 - loss: 6.5659379959106445 , train acc: 1.171875
2023-03-28 06:01:02,095 Step 82 - loss: 6.545490741729736 , train acc: 1.171875
2023-03-28 06:01:07,245 Step 83 - loss: 6.519601345062256 , train acc: 0.78125
2023-03-28 06:01:12,368 Step 84 - loss: 6.48207950592041 , train acc: 0.9765625
2023-03-28 06:01:17,498 Step 85 - loss: 6.536776542663574 , train acc: 0.5859375
