2023-03-31 19:11:49,592 train_batch_size: 512
2023-03-31 19:11:49,592 test_batch_size: 512
2023-03-31 19:11:49,592 lr: 5e-05
2023-03-31 19:11:49,592 num_epochs: 50
2023-03-31 19:11:49,592 max_patience: 1
2023-03-31 19:11:51,065 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-03-31 19:11:56,372 Train Epoch: 0
2023-03-31 19:12:05,299 Step 0 - loss: 7.070136070251465 , train acc: 9.1796875
2023-03-31 19:12:12,141 Step 1 - loss: 6.067906379699707 , train acc: 9.9609375
2023-03-31 19:12:19,364 Step 2 - loss: 5.194553852081299 , train acc: 10.15625
2023-03-31 19:12:26,274 Step 3 - loss: 4.577550888061523 , train acc: 8.59375
2023-03-31 19:12:33,702 Step 4 - loss: 4.080113410949707 , train acc: 13.671875
2023-03-31 19:12:40,949 Step 5 - loss: 3.7304294109344482 , train acc: 19.140625
2023-03-31 19:12:48,078 Step 6 - loss: 3.4778623580932617 , train acc: 25.9765625
2023-03-31 19:12:55,843 Step 7 - loss: 3.3229432106018066 , train acc: 24.0234375
2023-03-31 19:13:03,804 Step 8 - loss: 3.2102322578430176 , train acc: 27.5390625
2023-03-31 19:13:10,598 Step 9 - loss: 3.161285877227783 , train acc: 27.9296875
2023-03-31 19:13:17,621 Step 10 - loss: 3.141663074493408 , train acc: 28.7109375
2023-03-31 19:13:24,847 Step 11 - loss: 3.124825954437256 , train acc: 31.640625
2023-03-31 19:13:31,747 Step 12 - loss: 3.1210315227508545 , train acc: 39.6484375
2023-03-31 19:13:38,660 Step 13 - loss: 3.1124541759490967 , train acc: 44.3359375
2023-03-31 19:13:46,857 Step 14 - loss: 3.1187047958374023 , train acc: 48.4375
2023-03-31 19:13:54,045 Step 15 - loss: 3.132051467895508 , train acc: 50.78125
2023-03-31 19:14:01,006 Step 16 - loss: 3.1247386932373047 , train acc: 50.5859375
2023-03-31 19:14:07,743 Step 17 - loss: 3.087944746017456 , train acc: 61.5234375
2023-03-31 19:14:14,000 Step 18 - loss: 3.076205253601074 , train acc: 63.28125
2023-03-31 19:14:21,118 Step 19 - loss: 3.0566296577453613 , train acc: 62.109375
2023-03-31 19:14:29,516 Step 20 - loss: 3.0422444343566895 , train acc: 58.984375
2023-03-31 19:14:36,041 Step 21 - loss: 3.022221088409424 , train acc: 56.25
2023-03-31 19:14:43,042 Step 22 - loss: 2.99027419090271 , train acc: 56.0546875
2023-03-31 19:14:49,564 Step 23 - loss: 2.956601142883301 , train acc: 60.3515625
2023-03-31 19:14:56,487 Step 24 - loss: 2.924334764480591 , train acc: 62.890625
2023-03-31 19:15:03,477 Step 25 - loss: 2.8807995319366455 , train acc: 64.2578125
2023-03-31 19:15:10,953 Step 26 - loss: 2.8598568439483643 , train acc: 68.75
2023-03-31 19:15:18,580 Step 27 - loss: 2.8217477798461914 , train acc: 73.2421875
2023-03-31 19:15:25,297 Step 28 - loss: 2.78579044342041 , train acc: 74.4140625
2023-03-31 19:15:32,136 Step 29 - loss: 2.751807928085327 , train acc: 76.953125
2023-03-31 19:15:38,793 Step 30 - loss: 2.716859817504883 , train acc: 81.4453125
2023-03-31 19:15:45,853 Step 31 - loss: 2.7120962142944336 , train acc: 80.2734375
2023-03-31 19:15:52,609 Step 32 - loss: 2.671576976776123 , train acc: 83.59375
2023-03-31 19:15:59,446 Step 33 - loss: 2.643667459487915 , train acc: 79.4921875
2023-03-31 19:16:06,595 Step 34 - loss: 2.61155366897583 , train acc: 81.0546875
2023-03-31 19:16:14,032 Step 35 - loss: 2.63155460357666 , train acc: 77.9296875
2023-03-31 19:16:21,103 Step 36 - loss: 2.589290142059326 , train acc: 75.0
2023-03-31 19:16:28,637 Step 37 - loss: 2.5666165351867676 , train acc: 77.5390625
2023-03-31 19:16:35,949 Step 38 - loss: 2.5489554405212402 , train acc: 75.9765625
2023-03-31 19:16:42,562 Step 39 - loss: 2.486299514770508 , train acc: 78.90625
2023-03-31 19:16:49,371 Step 40 - loss: 2.4663820266723633 , train acc: 78.515625
2023-03-31 19:16:56,192 Step 41 - loss: 2.446168899536133 , train acc: 79.4921875
2023-03-31 19:17:03,026 Step 42 - loss: 2.4276976585388184 , train acc: 73.828125
2023-03-31 19:17:10,502 Step 43 - loss: 2.3811099529266357 , train acc: 75.78125
2023-03-31 19:17:17,763 Step 44 - loss: 2.3392908573150635 , train acc: 77.734375
2023-03-31 19:17:24,989 Step 45 - loss: 2.287043333053589 , train acc: 82.2265625
2023-03-31 19:17:31,731 Step 46 - loss: 2.253021240234375 , train acc: 77.734375
