2023-03-27 19:09:07,439 train_batch_size: 512
2023-03-27 19:09:07,439 test_batch_size: 512
2023-03-27 19:09:07,439 lr: 5e-05
2023-03-27 19:09:07,439 num_epochs: 50
2023-03-27 19:09:07,439 max_patience: 1
2023-03-27 19:09:08,947 Found cached dataset cifar100 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar100/cifar100/1.0.0/f365c8b725c23e8f0f8d725c3641234d9331cd2f62919d1381d1baa5b3ba3142)
2023-03-27 19:09:13,631 Train Epoch: 0
2023-03-27 19:09:21,655 Step 0 - loss: 71.96681213378906 , train acc: 1.953125
2023-03-27 19:09:27,329 Step 1 - loss: 67.11174011230469 , train acc: 0.78125
2023-03-27 19:09:32,996 Step 2 - loss: 62.5682373046875 , train acc: 0.5859375
2023-03-27 19:09:39,129 Step 3 - loss: 58.26656723022461 , train acc: 0.78125
2023-03-27 19:09:45,070 Step 4 - loss: 54.16058349609375 , train acc: 0.9765625
2023-03-27 19:09:51,211 Step 5 - loss: 50.442527770996094 , train acc: 1.171875
2023-03-27 19:09:56,909 Step 6 - loss: 46.93204879760742 , train acc: 0.9765625
2023-03-27 19:10:02,590 Step 7 - loss: 43.707763671875 , train acc: 1.171875
2023-03-27 19:10:08,339 Step 8 - loss: 40.64833068847656 , train acc: 1.3671875
2023-03-27 19:10:16,238 Step 9 - loss: 37.90901565551758 , train acc: 0.9765625
2023-03-27 19:10:22,149 Step 10 - loss: 35.334716796875 , train acc: 1.171875
2023-03-27 19:10:28,185 Step 11 - loss: 32.96723937988281 , train acc: 1.3671875
2023-03-27 19:10:34,474 Step 12 - loss: 30.796607971191406 , train acc: 0.78125
2023-03-27 19:10:40,247 Step 13 - loss: 28.905067443847656 , train acc: 0.390625
2023-03-27 19:10:46,255 Step 14 - loss: 27.050739288330078 , train acc: 0.78125
2023-03-27 19:10:52,156 Step 15 - loss: 25.434648513793945 , train acc: 0.9765625
2023-03-27 19:10:58,254 Step 16 - loss: 23.912195205688477 , train acc: 1.5625
2023-03-27 19:11:04,165 Step 17 - loss: 22.595157623291016 , train acc: 1.3671875
2023-03-27 19:11:10,179 Step 18 - loss: 21.3339900970459 , train acc: 1.171875
2023-03-27 19:11:16,643 Step 19 - loss: 20.1643009185791 , train acc: 1.953125
2023-03-27 19:11:22,730 Step 20 - loss: 19.176223754882812 , train acc: 0.9765625
2023-03-27 19:11:28,765 Step 21 - loss: 18.240264892578125 , train acc: 1.3671875
2023-03-27 19:11:34,807 Step 22 - loss: 17.35803985595703 , train acc: 1.171875
2023-03-27 19:11:40,899 Step 23 - loss: 16.645856857299805 , train acc: 0.1953125
2023-03-27 19:11:47,085 Step 24 - loss: 15.896410942077637 , train acc: 0.78125
2023-03-27 19:11:53,086 Step 25 - loss: 15.254847526550293 , train acc: 1.7578125
2023-03-27 19:11:59,418 Step 26 - loss: 14.594247817993164 , train acc: 1.171875
2023-03-27 19:12:06,129 Step 27 - loss: 14.08669662475586 , train acc: 0.78125
2023-03-27 19:12:12,603 Step 28 - loss: 13.565659523010254 , train acc: 0.9765625
2023-03-27 19:12:18,606 Step 29 - loss: 13.141634941101074 , train acc: 1.3671875
2023-03-27 19:12:24,489 Step 30 - loss: 12.694992065429688 , train acc: 1.3671875
2023-03-27 19:12:30,096 Step 31 - loss: 12.265104293823242 , train acc: 1.7578125
2023-03-27 19:12:36,200 Step 32 - loss: 11.933999061584473 , train acc: 2.34375
2023-03-27 19:12:42,405 Step 33 - loss: 11.587227821350098 , train acc: 1.3671875
2023-03-27 19:12:48,310 Step 34 - loss: 11.319180488586426 , train acc: 1.171875
2023-03-27 19:12:54,156 Step 35 - loss: 11.004313468933105 , train acc: 1.7578125
2023-03-27 19:13:00,451 Step 36 - loss: 10.742355346679688 , train acc: 1.171875
2023-03-27 19:13:06,676 Step 37 - loss: 10.505297660827637 , train acc: 1.7578125
2023-03-27 19:13:12,877 Step 38 - loss: 10.231267929077148 , train acc: 1.3671875
2023-03-27 19:13:19,108 Step 39 - loss: 10.001715660095215 , train acc: 1.171875
2023-03-27 19:13:25,487 Step 40 - loss: 9.821398735046387 , train acc: 2.34375
2023-03-27 19:13:31,710 Step 41 - loss: 9.630107879638672 , train acc: 1.7578125
2023-03-27 19:13:37,556 Step 42 - loss: 9.436518669128418 , train acc: 2.5390625
2023-03-27 19:13:43,750 Step 43 - loss: 9.237719535827637 , train acc: 3.125
2023-03-27 19:13:50,202 Step 44 - loss: 9.116806983947754 , train acc: 1.5625
2023-03-27 19:13:56,836 Step 45 - loss: 8.941106796264648 , train acc: 1.953125
2023-03-27 19:14:03,288 Step 46 - loss: 8.805060386657715 , train acc: 1.953125
2023-03-27 19:14:09,412 Step 47 - loss: 8.677599906921387 , train acc: 1.953125
2023-03-27 19:14:15,704 Step 48 - loss: 8.549516677856445 , train acc: 0.9765625
2023-03-27 19:14:22,074 Step 49 - loss: 8.434520721435547 , train acc: 1.953125
2023-03-27 19:14:28,236 Step 50 - loss: 8.333579063415527 , train acc: 1.5625
2023-03-27 19:14:34,215 Step 51 - loss: 8.19497299194336 , train acc: 1.5625
2023-03-27 19:14:40,261 Step 52 - loss: 8.098052024841309 , train acc: 2.5390625
2023-03-27 19:14:46,239 Step 53 - loss: 7.991781234741211 , train acc: 1.171875
2023-03-27 19:14:52,262 Step 54 - loss: 7.892273426055908 , train acc: 1.3671875
2023-03-27 19:14:58,097 Step 55 - loss: 7.819299221038818 , train acc: 1.953125
2023-03-27 19:15:04,524 Step 56 - loss: 7.733205795288086 , train acc: 2.1484375
