2023-03-27 07:55:47,258 Found cached dataset parquet (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/Maysee___parquet/Maysee--tiny-imagenet-35af7c46a941f08e/0.0.0/2a3b91fbd88a2c90d1dbbb32b460cf621d31bd5b05b934492fdef7d8d6f236ec)
2023-03-27 07:55:51,813 Train Epoch: 0
2023-03-27 07:55:59,884 Step 0 - loss: 144.9006805419922 , train acc: 0.9765625
2023-03-27 07:56:05,980 Step 1 - loss: 136.9131622314453 , train acc: 1.3671875
2023-03-27 07:56:11,733 Step 2 - loss: 129.41868591308594 , train acc: 0.1953125
2023-03-27 07:56:17,338 Step 3 - loss: 122.24468994140625 , train acc: 0.0
2023-03-27 07:56:22,946 Step 4 - loss: 115.31491088867188 , train acc: 0.9765625
2023-03-27 07:56:30,594 Step 5 - loss: 108.86251068115234 , train acc: 0.5859375
2023-03-27 07:56:37,234 Step 6 - loss: 102.84027862548828 , train acc: 0.390625
2023-03-27 07:56:43,137 Step 7 - loss: 97.10122680664062 , train acc: 0.1953125
2023-03-27 07:56:49,450 Step 8 - loss: 91.7253646850586 , train acc: 0.390625
2023-03-27 07:56:55,397 Step 9 - loss: 86.56034851074219 , train acc: 1.3671875
2023-03-27 07:57:01,481 Step 10 - loss: 81.74822998046875 , train acc: 0.78125
2023-03-27 07:57:07,422 Step 11 - loss: 77.3050537109375 , train acc: 1.171875
2023-03-27 07:57:13,282 Step 12 - loss: 73.12509155273438 , train acc: 0.5859375
2023-03-27 07:57:18,850 Step 13 - loss: 69.23240661621094 , train acc: 0.1953125
2023-03-27 07:57:24,840 Step 14 - loss: 65.52386474609375 , train acc: 0.78125
2023-03-27 07:57:31,037 Step 15 - loss: 62.2054443359375 , train acc: 0.5859375
2023-03-27 07:57:37,164 Step 16 - loss: 58.946895599365234 , train acc: 0.78125
2023-03-27 07:57:43,033 Step 17 - loss: 55.9612922668457 , train acc: 0.5859375
2023-03-27 07:57:48,587 Step 18 - loss: 53.12612533569336 , train acc: 0.390625
2023-03-27 07:57:56,250 Step 19 - loss: 50.538330078125 , train acc: 0.78125
2023-03-27 07:58:02,587 Step 20 - loss: 48.17115783691406 , train acc: 0.0
2023-03-27 07:58:08,235 Step 21 - loss: 45.823974609375 , train acc: 0.5859375
2023-03-27 07:58:14,184 Step 22 - loss: 43.77326202392578 , train acc: 0.0
2023-03-27 07:58:20,082 Step 23 - loss: 41.80320358276367 , train acc: 0.78125
2023-03-27 07:58:26,460 Step 24 - loss: 40.04074478149414 , train acc: 0.0
2023-03-27 07:58:32,948 Step 25 - loss: 38.29485321044922 , train acc: 0.390625
2023-03-27 07:58:39,197 Step 26 - loss: 36.687679290771484 , train acc: 0.0
2023-03-27 07:58:45,594 Step 27 - loss: 35.27719497680664 , train acc: 0.9765625
2023-03-27 07:58:51,662 Step 28 - loss: 33.872962951660156 , train acc: 0.0
2023-03-27 07:58:58,444 Step 29 - loss: 32.676143646240234 , train acc: 0.390625
2023-03-27 07:59:04,727 Step 30 - loss: 31.49365997314453 , train acc: 0.390625
2023-03-27 07:59:10,906 Step 31 - loss: 30.445592880249023 , train acc: 0.0
2023-03-27 07:59:17,264 Step 32 - loss: 29.220745086669922 , train acc: 0.390625
2023-03-27 07:59:23,133 Step 33 - loss: 28.23195457458496 , train acc: 0.0
2023-03-27 07:59:28,910 Step 34 - loss: 27.29683494567871 , train acc: 0.5859375
2023-03-27 07:59:35,196 Step 35 - loss: 26.50741958618164 , train acc: 0.1953125
2023-03-27 07:59:40,996 Step 36 - loss: 25.68390655517578 , train acc: 0.5859375
2023-03-27 07:59:46,934 Step 37 - loss: 24.909961700439453 , train acc: 0.9765625
2023-03-27 07:59:53,053 Step 38 - loss: 24.106489181518555 , train acc: 0.5859375
2023-03-27 08:00:00,910 Step 39 - loss: 23.485294342041016 , train acc: 0.390625
2023-03-27 08:00:07,066 Step 40 - loss: 22.800500869750977 , train acc: 0.390625
2023-03-27 08:00:13,540 Step 41 - loss: 22.14873504638672 , train acc: 0.390625
2023-03-27 08:00:19,372 Step 42 - loss: 21.58285903930664 , train acc: 0.390625
2023-03-27 08:00:25,184 Step 43 - loss: 21.041866302490234 , train acc: 0.78125
2023-03-27 08:00:30,869 Step 44 - loss: 20.48301124572754 , train acc: 0.1953125
2023-03-27 08:00:36,750 Step 45 - loss: 19.932964324951172 , train acc: 0.5859375
2023-03-27 08:00:43,051 Step 46 - loss: 19.48503875732422 , train acc: 0.5859375
2023-03-27 08:00:49,214 Step 47 - loss: 19.014862060546875 , train acc: 0.5859375
2023-03-27 08:00:55,572 Step 48 - loss: 18.571434020996094 , train acc: 0.1953125
2023-03-27 08:01:01,546 Step 49 - loss: 18.22186279296875 , train acc: 0.390625
2023-03-27 08:01:07,703 Step 50 - loss: 17.793148040771484 , train acc: 0.1953125
2023-03-27 08:01:13,524 Step 51 - loss: 17.419281005859375 , train acc: 0.390625
2023-03-27 08:01:19,424 Step 52 - loss: 17.036731719970703 , train acc: 0.9765625
2023-03-27 08:01:25,353 Step 53 - loss: 16.72476577758789 , train acc: 0.78125
2023-03-27 08:01:31,575 Step 54 - loss: 16.36727523803711 , train acc: 0.390625
2023-03-27 08:01:37,192 Step 55 - loss: 16.038604736328125 , train acc: 0.390625
2023-03-27 08:01:42,947 Step 56 - loss: 15.743448257446289 , train acc: 0.390625
2023-03-27 08:01:48,618 Step 57 - loss: 15.494958877563477 , train acc: 0.78125
2023-03-27 08:01:54,665 Step 58 - loss: 15.18438720703125 , train acc: 0.390625
2023-03-27 08:02:02,471 Step 59 - loss: 14.932963371276855 , train acc: 0.5859375
2023-03-27 08:02:08,190 Step 60 - loss: 14.660204887390137 , train acc: 0.390625
2023-03-27 08:02:14,068 Step 61 - loss: 14.396601676940918 , train acc: 0.5859375
2023-03-27 08:02:19,785 Step 62 - loss: 14.202618598937988 , train acc: 0.390625
2023-03-27 08:02:26,463 Step 63 - loss: 13.954089164733887 , train acc: 0.9765625
2023-03-27 08:02:32,621 Step 64 - loss: 13.731290817260742 , train acc: 0.5859375
2023-03-27 08:02:39,158 Step 65 - loss: 13.514698028564453 , train acc: 0.78125
2023-03-27 08:02:45,596 Step 66 - loss: 13.306626319885254 , train acc: 0.5859375
